date,market,bar_date,equity,cash,positions,orders,signals,risk
2026-09-23,US,2026-09-21,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-23,US,2026-09-23,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-23,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-23,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-23,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-23,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-23,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-23,6336.37,6336.37,,0,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-23,6336.37,6336.37,,1,,[风控:正常] 当日 +0.00%  回撤 +0.00%
2026-09-24,US,2026-09-24,6339.71,19.41,SPYM:70,1,,[风控:正常] 当日 +0.05%  回撤 +0.00%
