family,src,target,w,h,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
行业 → 行业,Agric,Ships,1,6,0.0695,0.3593,0.3006,0.0837,1.8152,0.9168,False,False
行业 → 行业,Agric,Ships,3,1,0.1875,0.1753,0.0576,0.0357,1.318,1.3555,False,False
行业 → 行业,Agric,Ships,3,3,0.0628,0.4318,0.2025,0.0412,1.8604,0.7861,False,False
行业 → 行业,Agric,Ships,3,6,0.0888,0.7377,0.2888,0.0263,1.7015,0.3349,False,False
行业 → 行业,Agric,Ships,6,1,0.0358,0.3415,0.069,0.014,2.099,0.9512,False,False
行业 → 行业,Agric,Ships,6,3,0.0756,0.7079,0.156,0.013,1.7765,0.3747,False,False
行业 → 行业,Agric,Ships,6,6,0.1024,0.4415,0.2351,-0.0535,1.6331,-0.7697,False,False
行业 → 行业,Agric,Smoke,1,1,0.8341,0.4016,-0.0151,0.0551,-0.2095,0.8388,False,False
行业 → 行业,Agric,Smoke,1,3,0.8612,0.5063,0.0217,0.0729,0.1749,0.6647,False,False
行业 → 行业,Agric,Smoke,1,6,0.5124,0.7196,0.1056,0.061,0.6551,0.359,False,False
行业 → 行业,Agric,Smoke,3,1,0.8744,0.3393,-0.0075,0.0377,-0.1581,0.9555,False,False
行业 → 行业,Agric,Smoke,3,3,0.0811,0.3492,0.155,0.089,1.7446,0.9361,False,False
行业 → 行业,Agric,Smoke,3,6,0.9345,0.8687,0.013,0.0226,0.0822,0.1654,False,False
行业 → 行业,Agric,Smoke,6,1,0.3168,0.6126,0.0315,0.0146,1.0011,0.5064,False,False
行业 → 行业,Agric,Smoke,6,3,0.6711,0.8643,0.0356,0.0112,0.4246,0.1708,False,False
行业 → 行业,Agric,Smoke,6,6,0.6638,0.7017,0.0657,-0.0401,0.4347,-0.383,False,False
行业 → 行业,Agric,Soda,1,1,0.5854,0.2924,0.0358,0.0623,0.5455,1.0529,False,False
行业 → 行业,Agric,Soda,1,3,0.8042,0.7977,0.027,-0.0249,0.2479,-0.2563,False,False
行业 → 行业,Agric,Soda,1,6,0.061,0.8524,0.2431,-0.0247,1.8736,-0.186,False,False
行业 → 行业,Agric,Soda,3,1,0.5133,0.8207,0.0262,0.0078,0.6536,0.2267,False,False
行业 → 行业,Agric,Soda,3,3,0.0243,0.3071,0.1852,-0.076,2.2529,-1.0214,False,False
行业 → 行业,Agric,Soda,3,6,0.0868,0.4207,0.2462,-0.0926,1.7125,-0.8053,False,False
行业 → 行业,Agric,Soda,6,1,0.0467,0.9253,0.0584,-0.0022,1.9892,-0.0938,False,False
行业 → 行业,Agric,Soda,6,3,0.0507,0.4486,0.1424,-0.0407,1.9542,-0.7577,False,False
行业 → 行业,Agric,Soda,6,6,0.2499,0.4684,0.1539,-0.0606,1.1505,-0.7251,False,False
行业 → 行业,Agric,Softw,1,1,0.6069,0.8547,0.0604,0.0115,0.5146,0.1832,False,False
行业 → 行业,Agric,Softw,1,3,0.9055,0.256,-0.0238,-0.0927,-0.1188,-1.1359,False,False
行业 → 行业,Agric,Softw,1,6,0.4119,0.6579,-0.2211,-0.0545,-0.8205,-0.4429,False,False
行业 → 行业,Agric,Softw,3,1,0.8623,0.2241,0.0126,-0.0422,0.1734,-1.2157,False,False
行业 → 行业,Agric,Softw,3,3,0.4285,0.923,-0.1431,0.0061,-0.7918,0.0967,False,False
行业 → 行业,Agric,Softw,3,6,0.3396,0.8448,-0.2836,0.0199,-0.9549,0.1958,False,False
行业 → 行业,Agric,Softw,6,1,0.3635,0.6921,-0.0516,-0.009,-0.9087,-0.396,False,False
行业 → 行业,Agric,Softw,6,3,0.2362,0.8293,-0.2071,0.0103,-1.1845,0.2156,False,False
行业 → 行业,Agric,Softw,6,6,0.3217,0.5239,-0.2766,0.0538,-0.9911,0.6373,False,False
行业 → 行业,Agric,Steel,1,1,0.4915,0.8295,0.041,0.0147,0.6879,0.2154,False,False
行业 → 行业,Agric,Steel,1,3,0.9696,0.4145,-0.0038,0.0917,-0.0381,0.8161,False,False
行业 → 行业,Agric,Steel,1,6,0.9323,0.274,-0.0117,0.1489,-0.0849,1.0938,False,False
行业 → 行业,Agric,Steel,3,1,0.937,0.4649,0.003,0.0286,0.079,0.7308,False,False
行业 → 行业,Agric,Steel,3,3,0.8755,0.2905,-0.0138,0.0809,-0.1567,1.0571,False,False
行业 → 行业,Agric,Steel,3,6,0.9657,0.6935,-0.0066,0.0476,-0.043,0.3941,False,False
行业 → 行业,Agric,Steel,6,1,0.8447,0.1953,0.0063,0.027,0.1959,1.295,False,False
行业 → 行业,Agric,Steel,6,3,0.9348,0.6071,0.0069,0.0282,0.0818,0.5142,False,False
行业 → 行业,Agric,Steel,6,6,0.8718,0.8545,-0.0265,-0.0188,-0.1613,-0.1833,False,False
行业 → 行业,Agric,Telcm,1,1,0.2169,0.0875,0.0631,0.0657,1.2348,1.7087,False,False
行业 → 行业,Agric,Telcm,1,3,0.1276,0.116,0.1582,-0.0943,1.5238,-1.572,False,False
行业 → 行业,Agric,Telcm,1,6,0.0191,0.7102,0.2835,-0.0312,2.3433,-0.3716,False,False
行业 → 行业,Agric,Telcm,3,1,0.0754,0.1645,0.0651,-0.0314,1.7777,-1.3901,False,False
行业 → 行业,Agric,Telcm,3,3,0.0145,0.1206,0.2064,-0.0756,2.4458,-1.5522,False,False
行业 → 行业,Agric,Telcm,3,6,0.025,0.5583,0.2992,-0.0453,2.2413,-0.5854,False,False
行业 → 行业,Agric,Telcm,6,1,0.0027,0.7407,0.0716,-0.0046,3.0024,-0.331,False,False
行业 → 行业,Agric,Telcm,6,3,0.0088,0.455,0.177,-0.0264,2.618,-0.747,False,False
行业 → 行业,Agric,Telcm,6,6,0.0452,0.747,0.2539,-0.022,2.0025,-0.3226,False,False
行业 → 行业,Agric,Toys,1,1,0.356,0.0983,0.0505,-0.0819,0.9231,-1.653,False,False
行业 → 行业,Agric,Toys,1,3,0.7788,0.9541,-0.0264,-0.0052,-0.2809,-0.0576,False,False
行业 → 行业,Agric,Toys,1,6,0.1425,0.3113,-0.1596,-0.13,-1.4667,-1.0124,False,False
行业 → 行业,Agric,Toys,3,1,0.9587,0.8212,0.002,-0.0068,0.0518,-0.226,False,False
行业 → 行业,Agric,Toys,3,3,0.0576,0.7861,-0.1441,-0.018,-1.8988,-0.2714,False,False
行业 → 行业,Agric,Toys,3,6,0.0476,0.3829,-0.2001,-0.1057,-1.981,-0.8726,False,False
行业 → 行业,Agric,Toys,6,1,0.1109,0.1981,-0.037,-0.0242,-1.5941,-1.2869,False,False
行业 → 行业,Agric,Toys,6,3,0.0204,0.3147,-0.1209,-0.0524,-2.3195,-1.0054,False,False
行业 → 行业,Agric,Toys,6,6,0.0185,0.4423,-0.1929,-0.0731,-2.3558,-0.7683,False,False
行业 → 行业,Agric,Trans,1,1,0.9615,0.6825,-0.0018,0.0121,-0.0483,0.409,False,False
行业 → 行业,Agric,Trans,1,3,0.1661,0.1194,0.0845,-0.0805,1.3848,-1.5571,False,False
行业 → 行业,Agric,Trans,1,6,0.7942,0.6968,0.0223,-0.0261,0.2609,-0.3897,False,False
行业 → 行业,Agric,Trans,3,1,0.1768,0.0947,0.0318,-0.0293,1.3507,-1.6713,False,False
行业 → 行业,Agric,Trans,3,3,0.513,0.1083,0.0399,-0.06,0.6541,-1.6057,False,False
行业 → 行业,Agric,Trans,3,6,0.8048,0.5286,-0.0208,-0.0409,-0.2471,-0.6301,False,False
行业 → 行业,Agric,Trans,6,1,0.7127,0.506,0.0074,-0.0069,0.3682,-0.6651,False,False
行业 → 行业,Agric,Trans,6,3,0.8434,0.5476,-0.0092,-0.0185,-0.1976,-0.6013,False,False
行业 → 行业,Agric,Trans,6,6,0.2015,0.8087,-0.1011,0.0143,-1.2772,0.2421,False,False
行业 → 行业,Agric,Txtls,1,1,0.2395,0.6174,-0.0545,-0.0385,-1.1761,-0.4995,False,False
行业 → 行业,Agric,Txtls,1,3,0.1698,0.1512,-0.1091,0.1577,-1.3729,1.4352,False,False
行业 → 行业,Agric,Txtls,1,6,0.3951,0.1336,-0.0917,0.2137,-0.8503,1.4999,False,False
行业 → 行业,Agric,Txtls,3,1,0.1299,0.1495,-0.0479,0.0557,-1.5143,1.4413,False,False
行业 → 行业,Agric,Txtls,3,3,0.1618,0.0284,-0.1031,0.1389,-1.3991,2.1913,False,False
行业 → 行业,Agric,Txtls,3,6,0.552,0.3457,-0.0615,0.0969,-0.5947,0.9429,False,False
行业 → 行业,Agric,Txtls,6,1,0.4171,0.2149,-0.0166,0.0303,-0.8115,1.2401,False,False
行业 → 行业,Agric,Txtls,6,3,0.657,0.253,-0.0237,0.0531,-0.444,1.1432,False,False
行业 → 行业,Agric,Txtls,6,6,0.9315,0.8604,0.0084,0.0134,0.086,0.1759,False,False
行业 → 行业,Agric,Util,1,1,0.845,0.617,0.0111,0.0244,0.1955,0.5002,False,False
行业 → 行业,Agric,Util,1,3,0.653,0.7504,0.0498,0.0271,0.4496,0.3181,False,False
行业 → 行业,Agric,Util,1,6,0.3244,0.7843,0.137,-0.0288,0.9854,-0.2737,False,False
行业 → 行业,Agric,Util,3,1,0.4688,0.7787,0.0281,0.0079,0.7245,0.281,False,False
行业 → 行业,Agric,Util,3,3,0.5575,0.8999,0.0553,0.0068,0.5866,0.1258,False,False
行业 → 行业,Agric,Util,3,6,0.4032,0.9365,0.132,0.0058,0.8359,0.0797,False,False
行业 → 行业,Agric,Util,6,1,0.1705,0.8788,0.0387,-0.0027,1.3706,-0.1525,False,False
行业 → 行业,Agric,Util,6,3,0.2993,0.9626,0.0901,0.0015,1.0379,0.0469,False,False
行业 → 行业,Agric,Util,6,6,0.2175,0.9778,0.1779,-0.0017,1.2332,-0.0278,False,False
行业 → 行业,Agric,Whlsl,1,1,0.8849,0.8115,0.0042,0.0063,0.1447,0.2385,False,False
行业 → 行业,Agric,Whlsl,1,3,0.9157,0.3498,0.0052,-0.0431,0.1058,-0.9349,False,False
行业 → 行业,Agric,Whlsl,1,6,0.0106,0.7192,-0.1437,-0.0266,-2.5571,-0.3595,False,False
行业 → 行业,Agric,Whlsl,3,1,0.9421,0.4256,0.0014,-0.0122,0.0726,-0.7968,False,False
行业 → 行业,Agric,Whlsl,3,3,0.084,0.6562,-0.0678,-0.017,-1.7278,-0.4452,False,False
行业 → 行业,Agric,Whlsl,3,6,0.0079,0.9523,-0.1645,-0.0035,-2.6551,-0.0599,False,False
行业 → 行业,Agric,Whlsl,6,1,0.0143,0.8052,-0.0362,-0.0028,-2.4485,-0.2466,False,False
行业 → 行业,Agric,Whlsl,6,3,0.0091,0.9904,-0.0975,0.0003,-2.6086,0.012,False,False
行业 → 行业,Agric,Whlsl,6,6,0.0507,0.7712,-0.1298,-0.0134,-1.9536,-0.2908,False,False
行业 → 行业,Autos,Aero,1,1,0.9411,0.5883,-0.0044,0.0183,-0.0739,0.5414,False,False
行业 → 行业,Autos,Aero,1,3,0.9753,0.2195,-0.0031,-0.0633,-0.031,-1.228,False,False
行业 → 行业,Autos,Aero,1,6,0.7485,0.4708,0.0428,-0.0594,0.3206,-0.7212,False,False
行业 → 行业,Autos,Aero,3,1,0.8328,0.2732,0.0062,-0.0192,0.2111,-1.0957,False,False
行业 → 行业,Autos,Aero,3,3,0.7028,0.7183,0.0237,-0.0172,0.3816,-0.3607,False,False
行业 → 行业,Autos,Aero,3,6,0.8892,0.7862,0.0159,-0.0202,0.1394,-0.2712,False,False
行业 → 行业,Autos,Aero,6,1,0.6637,0.4586,0.0092,-0.0094,0.4348,-0.7411,False,False
行业 → 行业,Autos,Aero,6,3,0.8806,0.8472,0.0085,-0.0064,0.1502,-0.1926,False,False
行业 → 行业,Autos,Aero,6,6,0.6323,0.6882,0.0468,0.0207,0.4786,0.4013,False,False
行业 → 行业,Autos,Agric,1,1,0.8369,0.9484,0.013,-0.0027,0.2058,-0.0647,False,False
行业 → 行业,Autos,Agric,1,3,0.3011,0.382,0.097,0.0651,1.034,0.8741,False,False
行业 → 行业,Autos,Agric,1,6,0.5381,0.468,0.0815,0.0888,0.6157,0.7257,False,False
行业 → 行业,Autos,Agric,3,1,0.2675,0.4375,0.0301,0.02,1.1089,0.7764,False,False
行业 → 行业,Autos,Agric,3,3,0.3699,0.8548,0.0665,0.0104,0.8966,0.183,False,False
行业 → 行业,Autos,Agric,3,6,0.4518,0.3726,0.0844,0.0886,0.7524,0.8917,False,False
行业 → 行业,Autos,Agric,6,1,0.399,0.4037,0.0163,0.0149,0.8434,0.835,False,False
行业 → 行业,Autos,Agric,6,3,0.4299,0.2394,0.0461,0.0521,0.7894,1.1766,False,False
行业 → 行业,Autos,Agric,6,6,0.9191,0.2574,-0.0079,0.0835,-0.1016,1.1325,False,False
行业 → 行业,Autos,Banks,1,1,0.3631,0.4006,-0.0475,0.0279,-0.9094,0.8406,False,False
行业 → 行业,Autos,Banks,1,3,0.7464,0.53,0.0372,0.0341,0.3234,0.6281,False,False
行业 → 行业,Autos,Banks,1,6,0.9491,0.6855,-0.0078,0.0269,-0.0639,0.4049,False,False
行业 → 行业,Autos,Banks,3,1,0.7331,0.3181,0.011,0.019,0.341,0.9983,False,False
行业 → 行业,Autos,Banks,3,3,0.5302,0.7336,0.0409,0.0144,0.6276,0.3403,False,False
行业 → 行业,Autos,Banks,3,6,0.7651,0.5442,0.0288,0.0398,0.2988,0.6065,False,False
行业 → 行业,Autos,Banks,6,1,0.8714,0.5929,0.0028,0.0069,0.1618,0.5346,False,False
行业 → 行业,Autos,Banks,6,3,0.7444,0.8125,0.0154,0.0074,0.326,0.2372,False,False
行业 → 行业,Autos,Banks,6,6,0.7595,0.882,0.0311,0.0078,0.3061,0.1485,False,False
行业 → 行业,Autos,Beer,1,1,0.3304,0.4703,-0.0542,-0.0286,-0.9733,-0.7221,False,False
行业 → 行业,Autos,Beer,1,3,0.6872,0.2794,-0.0432,0.0748,-0.4027,1.0816,False,False
行业 → 行业,Autos,Beer,1,6,0.3413,0.6778,-0.1331,-0.0371,-0.9515,-0.4154,False,False
行业 → 行业,Autos,Beer,3,1,0.6234,0.4278,-0.0149,0.0184,-0.491,0.793,False,False
行业 → 行业,Autos,Beer,3,3,0.3079,0.9865,-0.0715,0.0009,-1.0197,0.017,False,False
行业 → 行业,Autos,Beer,3,6,0.0681,0.4407,-0.1879,-0.0642,-1.8244,-0.771,False,False
行业 → 行业,Autos,Beer,6,1,0.2553,0.7125,-0.0225,-0.006,-1.1376,-0.3685,False,False
行业 → 行业,Autos,Beer,6,3,0.0758,0.5243,-0.0899,-0.025,-1.7757,-0.6367,False,False
行业 → 行业,Autos,Beer,6,6,0.0443,0.2104,-0.188,-0.0781,-2.0112,-1.2525,False,False
行业 → 行业,Autos,BldMt,1,1,0.1252,0.5436,0.0528,0.0202,1.5331,0.6073,False,False
行业 → 行业,Autos,BldMt,1,3,0.1045,0.6765,0.0924,0.0185,1.6233,0.4172,False,False
行业 → 行业,Autos,BldMt,1,6,0.2712,0.2091,0.0792,-0.0623,1.1002,-1.256,False,False
行业 → 行业,Autos,BldMt,3,1,0.1323,0.5753,0.0243,0.0096,1.505,0.5603,False,False
行业 → 行业,Autos,BldMt,3,3,0.6015,0.8484,0.0218,0.0062,0.5222,0.1911,False,False
行业 → 行业,Autos,BldMt,3,6,0.5905,0.5126,0.0309,-0.0305,0.5381,-0.6548,False,False
行业 → 行业,Autos,BldMt,6,1,0.211,0.24,0.013,-0.0103,1.2508,-1.1751,False,False
行业 → 行业,Autos,BldMt,6,3,0.5876,0.3707,0.0153,-0.0239,0.5423,-0.8951,False,False
行业 → 行业,Autos,BldMt,6,6,0.5971,0.4909,0.0259,-0.028,0.5286,-0.6889,False,False
行业 → 行业,Autos,Books,1,1,0.6495,0.9378,-0.0191,0.0023,-0.4545,0.078,False,False
行业 → 行业,Autos,Books,1,3,0.4274,0.7244,0.0691,0.0168,0.7937,0.3526,False,False
行业 → 行业,Autos,Books,1,6,0.1131,0.0625,0.1672,0.1135,1.5846,1.8626,False,False
行业 → 行业,Autos,Books,3,1,0.3164,0.5,0.0236,0.0123,1.0019,0.6745,False,False
行业 → 行业,Autos,Books,3,3,0.1527,0.0554,0.0759,0.0643,1.4302,1.9158,False,False
行业 → 行业,Autos,Books,3,6,0.1354,0.0292,0.1308,0.131,1.4933,2.1801,False,False
行业 → 行业,Autos,Books,6,1,0.1352,0.0844,0.0217,0.0216,1.4939,1.7257,False,False
行业 → 行业,Autos,Books,6,3,0.1559,0.0206,0.0595,0.066,1.4191,2.3158,False,False
行业 → 行业,Autos,Books,6,6,0.0798,0.0394,0.1299,0.1036,1.7516,2.0602,False,False
行业 → 行业,Autos,Boxes,1,1,0.723,0.0557,0.0198,-0.0528,0.3545,-1.9137,False,False
行业 → 行业,Autos,Boxes,1,3,0.8162,0.6839,0.024,-0.021,0.2324,-0.4072,False,False
行业 → 行业,Autos,Boxes,1,6,0.6509,0.6302,-0.0654,-0.0299,-0.4525,-0.4814,False,False
行业 → 行业,Autos,Boxes,3,1,0.6717,0.8476,0.0135,-0.0035,0.4238,-0.1921,False,False
行业 → 行业,Autos,Boxes,3,3,0.9519,0.4366,-0.0043,0.0284,-0.0603,0.7779,False,False
行业 → 行业,Autos,Boxes,3,6,0.193,0.8804,-0.1284,0.0081,-1.3018,0.1505,False,False
行业 → 行业,Autos,Boxes,6,1,0.9705,0.6812,-0.0008,-0.005,-0.0369,-0.4109,False,False
行业 → 行业,Autos,Boxes,6,3,0.2158,0.9901,-0.0533,0.0004,-1.2377,0.0125,False,False
行业 → 行业,Autos,Boxes,6,6,0.0596,0.7457,-0.1426,-0.0153,-1.8839,-0.3243,False,False
行业 → 行业,Autos,BusSv,1,1,0.4119,0.1196,-0.0216,-0.0318,-0.8205,-1.5565,False,False
行业 → 行业,Autos,BusSv,1,3,0.1998,0.1248,-0.0619,-0.0549,-1.2822,-1.535,False,False
行业 → 行业,Autos,BusSv,1,6,0.5961,0.1353,0.0436,-0.0974,0.53,-1.4936,False,False
行业 → 行业,Autos,BusSv,3,1,0.2156,0.0659,-0.0166,-0.0201,-1.2384,-1.8393,False,False
行业 → 行业,Autos,BusSv,3,3,0.9408,0.0868,-0.0025,-0.0511,-0.0743,-1.7126,False,False
行业 → 行业,Autos,BusSv,3,6,0.2409,0.1315,0.0748,-0.0799,1.1726,-1.5081,False,False
行业 → 行业,Autos,BusSv,6,1,0.4254,0.147,0.0079,-0.0126,0.7971,-1.45,False,False
行业 → 行业,Autos,BusSv,6,3,0.1513,0.138,0.0405,-0.0331,1.4349,-1.4833,False,False
行业 → 行业,Autos,BusSv,6,6,0.1514,0.1753,0.0833,-0.044,1.4346,-1.3554,False,False
行业 → 行业,Autos,Chems,1,1,0.018,0.7842,0.0913,0.0066,2.3653,0.2739,False,False
行业 → 行业,Autos,Chems,1,3,0.3408,0.3481,0.0808,0.0366,0.9525,0.9382,False,False
行业 → 行业,Autos,Chems,1,6,0.5284,0.4517,-0.0633,0.0415,-0.6304,0.7525,False,False
行业 → 行业,Autos,Chems,3,1,0.1588,0.2598,0.0342,0.0149,1.4092,1.1269,False,False
行业 → 行业,Autos,Chems,3,3,0.7114,0.1751,0.0184,0.0411,0.37,1.3559,False,False
行业 → 行业,Autos,Chems,3,6,0.0962,0.4405,-0.1169,0.0364,-1.6636,0.7713,False,False
行业 → 行业,Autos,Chems,6,1,0.9298,0.4331,-0.0012,0.0077,-0.0882,0.784,False,False
行业 → 行业,Autos,Chems,6,3,0.042,0.3122,-0.0637,0.0224,-2.0335,1.0107,False,False
行业 → 行业,Autos,Chems,6,6,0.0272,0.5338,-0.1425,0.0211,-2.209,0.6222,False,False
行业 → 行业,Autos,Chips,1,1,0.3371,0.5925,0.0487,-0.0289,0.96,-0.5352,False,False
行业 → 行业,Autos,Chips,1,3,0.7169,0.2474,-0.0351,-0.0867,-0.3626,-1.1566,False,False
行业 → 行业,Autos,Chips,1,6,0.6534,0.5152,-0.0651,-0.0731,-0.4491,-0.6507,False,False
行业 → 行业,Autos,Chips,3,1,0.7201,0.1976,-0.01,-0.0331,-0.3584,-1.2886,False,False
行业 → 行业,Autos,Chips,3,3,0.5632,0.1078,-0.038,-0.097,-0.5781,-1.6082,False,False
行业 → 行业,Autos,Chips,3,6,0.4646,0.3111,-0.0767,-0.0993,-0.7313,-1.013,False,False
行业 → 行业,Autos,Chips,6,1,0.4969,0.362,-0.0132,-0.0169,-0.6793,-0.9115,False,False
行业 → 行业,Autos,Chips,6,3,0.5089,0.1878,-0.0324,-0.0623,-0.6606,-1.317,False,False
行业 → 行业,Autos,Chips,6,6,0.9759,0.7452,-0.0026,-0.0281,-0.0302,-0.325,False,False
行业 → 行业,Autos,Clths,1,1,0.6026,0.4978,0.0313,0.0271,0.5206,0.6779,False,False
行业 → 行业,Autos,Clths,1,3,0.9509,0.6373,0.0073,-0.0307,0.0616,-0.4714,False,False
行业 → 行业,Autos,Clths,1,6,0.9359,0.4271,0.0152,-0.0713,0.0805,-0.7942,False,False
行业 → 行业,Autos,Clths,3,1,0.8433,0.8592,0.0069,-0.0037,0.1977,-0.1774,False,False
行业 → 行业,Autos,Clths,3,3,0.8671,0.3871,0.0154,-0.0462,0.1674,-0.8649,False,False
行业 → 行业,Autos,Clths,3,6,0.6695,0.3346,-0.0637,-0.0757,-0.4269,-0.9649,False,False
行业 → 行业,Autos,Clths,6,1,0.8461,0.5929,0.005,-0.0079,0.1941,-0.5346,False,False
行业 → 行业,Autos,Clths,6,3,0.7623,0.4036,-0.0211,-0.0324,-0.3024,-0.8351,False,False
行业 → 行业,Autos,Clths,6,6,0.5563,0.2896,-0.0652,-0.0639,-0.5883,-1.059,False,False
行业 → 行业,Autos,Cnstr,1,1,0.181,0.276,-0.0778,0.0421,-1.3376,1.0894,False,False
行业 → 行业,Autos,Cnstr,1,3,0.251,0.2273,-0.1349,-0.0844,-1.1479,-1.2073,False,False
行业 → 行业,Autos,Cnstr,1,6,0.8499,0.0353,-0.0271,-0.1803,-0.1892,-2.1051,False,False
行业 → 行业,Autos,Cnstr,3,1,0.3331,0.3772,-0.0343,-0.0206,-0.9679,-0.883,False,False
行业 → 行业,Autos,Cnstr,3,3,0.5932,0.0069,-0.0385,-0.1292,-0.5343,-2.7005,False,False
行业 → 行业,Autos,Cnstr,3,6,0.8229,0.0104,0.0251,-0.1939,0.2238,-2.563,False,False
行业 → 行业,Autos,Cnstr,6,1,0.8837,0.0571,-0.0029,-0.0286,-0.1463,-1.9028,False,False
行业 → 行业,Autos,Cnstr,6,3,0.8092,0.024,0.0132,-0.0987,0.2414,-2.2572,False,False
行业 → 行业,Autos,Cnstr,6,6,0.7799,0.1112,0.0306,-0.1112,0.2794,-1.5929,False,False
行业 → 行业,Autos,Coal,1,1,0.9122,0.7464,0.0101,0.0339,0.1103,0.3234,False,False
行业 → 行业,Autos,Coal,1,3,0.8639,0.7745,0.0303,-0.0527,0.1714,-0.2865,False,False
行业 → 行业,Autos,Coal,1,6,0.2039,0.9369,0.4035,0.0236,1.2704,0.0791,False,False
行业 → 行业,Autos,Coal,3,1,0.8904,0.4473,0.007,-0.0455,0.1378,-0.76,False,False
行业 → 行业,Autos,Coal,3,3,0.223,0.8413,0.1559,-0.0298,1.2185,-0.2002,False,False
行业 → 行业,Autos,Coal,3,6,0.1159,0.8562,0.348,0.043,1.5721,0.1813,False,False
行业 → 行业,Autos,Coal,6,1,0.2984,0.9525,0.041,0.0027,1.0399,0.0596,False,False
行业 → 行业,Autos,Coal,6,3,0.1155,0.7609,0.1626,0.0327,1.5738,0.3043,False,False
行业 → 行业,Autos,Coal,6,6,0.1243,0.3074,0.2359,0.1705,1.5372,1.0206,False,False
行业 → 行业,Autos,Drugs,1,1,0.365,0.3501,-0.0553,-0.0326,-0.9058,-0.9344,False,False
行业 → 行业,Autos,Drugs,1,3,0.6653,0.3358,-0.0523,0.0672,-0.4326,0.9625,False,False
行业 → 行业,Autos,Drugs,1,6,0.875,0.5451,-0.0259,-0.0521,-0.1573,-0.6052,False,False
行业 → 行业,Autos,Drugs,3,1,0.5538,0.5484,-0.0204,0.0136,-0.5921,0.6002,False,False
行业 → 行业,Autos,Drugs,3,3,0.6676,0.5955,-0.0325,-0.0331,-0.4295,-0.5309,False,False
行业 → 行业,Autos,Drugs,3,6,0.6476,0.5323,-0.0585,-0.0503,-0.4571,-0.6245,False,False
行业 → 行业,Autos,Drugs,6,1,0.5566,0.5213,-0.0125,-0.0094,-0.5878,-0.6414,False,False
行业 → 行业,Autos,Drugs,6,3,0.4434,0.74,-0.0444,-0.014,-0.7664,-0.3319,False,False
行业 → 行业,Autos,Drugs,6,6,0.2692,0.521,-0.1095,-0.0414,-1.1048,-0.6418,False,False
行业 → 行业,Autos,ElcEq,1,1,0.9906,0.2265,0.0006,0.0453,0.0118,1.2095,False,False
行业 → 行业,Autos,ElcEq,1,3,0.9532,0.1972,0.0047,-0.086,0.0587,-1.2897,False,False
行业 → 行业,Autos,ElcEq,1,6,0.6064,0.6653,-0.052,-0.0367,-0.5152,-0.4326,False,False
行业 → 行业,Autos,ElcEq,3,1,0.975,0.3138,-0.0007,-0.0218,-0.0313,-1.0072,False,False
行业 → 行业,Autos,ElcEq,3,3,0.164,0.2761,-0.0658,-0.0665,-1.3917,-1.0892,False,False
行业 → 行业,Autos,ElcEq,3,6,0.181,0.8459,-0.0921,-0.0167,-1.3377,-0.1944,False,False
行业 → 行业,Autos,ElcEq,6,1,0.191,0.6812,-0.0165,-0.0059,-1.3076,-0.4108,False,False
行业 → 行业,Autos,ElcEq,6,3,0.0608,0.6197,-0.0562,-0.0214,-1.875,-0.4963,False,False
行业 → 行业,Autos,ElcEq,6,6,0.265,0.2941,-0.0602,0.0526,-1.1147,1.0491,False,False
行业 → 行业,Autos,FabPr,1,1,0.2558,0.0375,-0.0754,0.1209,-1.1364,2.0799,False,False
行业 → 行业,Autos,FabPr,1,3,0.0101,0.3758,-0.3242,0.1025,-2.5724,0.8856,False,False
行业 → 行业,Autos,FabPr,1,6,0.2601,0.2813,-0.2026,0.1703,-1.1261,1.0774,False,False
行业 → 行业,Autos,FabPr,3,1,0.0321,0.2331,-0.0807,0.0439,-2.143,1.1923,False,False
行业 → 行业,Autos,FabPr,3,3,0.2289,0.8409,-0.109,0.0212,-1.2032,0.2008,False,False
行业 → 行业,Autos,FabPr,3,6,0.8376,0.3834,0.0282,0.125,0.205,0.8717,False,False
行业 → 行业,Autos,FabPr,6,1,0.4538,0.3191,-0.0187,0.028,-0.749,0.9963,False,False
行业 → 行业,Autos,FabPr,6,3,0.7095,0.4695,0.0233,0.0534,0.3725,0.7233,False,False
行业 → 行业,Autos,FabPr,6,6,0.2357,0.2024,0.1259,0.1341,1.1858,1.2746,False,False
行业 → 行业,Autos,Fin,1,1,0.4005,0.4145,-0.0297,-0.0264,-0.8408,-0.816,False,False
行业 → 行业,Autos,Fin,1,3,0.6883,0.912,0.027,-0.0051,0.4011,-0.1105,False,False
行业 → 行业,Autos,Fin,1,6,0.5578,0.8519,0.0497,-0.0121,0.5861,-0.1867,False,False
行业 → 行业,Autos,Fin,3,1,0.7383,0.7757,0.0061,-0.0047,0.3341,-0.2849,False,False
行业 → 行业,Autos,Fin,3,3,0.1672,0.8674,0.0564,-0.0065,1.3811,-0.167,False,False
行业 → 行业,Autos,Fin,3,6,0.2903,0.6686,0.0702,-0.0268,1.0574,-0.4281,False,False
行业 → 行业,Autos,Fin,6,1,0.3507,0.8106,0.0101,-0.0028,0.9333,-0.2396,False,False
行业 → 行业,Autos,Fin,6,3,0.1397,0.7332,0.046,-0.0108,1.477,-0.3409,False,False
行业 → 行业,Autos,Fin,6,6,0.3287,0.605,0.0596,-0.0317,0.9767,-0.5172,False,False
