family,src,target,w,h,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
原材料 → 行业,chem,BldMt,3,3,0.1808,0.0018,-0.1672,-0.4136,-1.3382,-3.1221,False,False
原材料 → 行业,chem,BldMt,3,6,0.1415,0.0002,-0.3202,-0.7986,-1.4701,-3.7798,False,False
原材料 → 行业,chem,BldMt,6,1,0.0872,0.0962,-0.0389,-0.0662,-1.7103,-1.6633,False,False
原材料 → 行业,chem,BldMt,6,3,0.1879,0.0002,-0.0942,-0.2923,-1.3168,-3.6907,False,False
原材料 → 行业,chem,BldMt,6,6,0.2092,0.0006,-0.1521,-0.4839,-1.2557,-3.4157,False,False
原材料 → 行业,chem,Books,1,1,0.5247,0.0561,0.1409,-0.3377,0.6362,-1.9102,False,False
原材料 → 行业,chem,Books,1,3,0.868,0.0264,0.097,-0.7604,0.1662,-2.2208,False,False
原材料 → 行业,chem,Books,1,6,0.9835,0.0069,0.0153,-1.5637,0.0207,-2.7,False,False
原材料 → 行业,chem,Books,3,1,0.4193,0.0738,0.058,-0.1207,0.8077,-1.7882,False,False
原材料 → 行业,chem,Books,3,3,0.7374,0.0485,0.0718,-0.3386,0.3353,-1.9732,False,False
原材料 → 行业,chem,Books,3,6,0.8694,0.01,0.0474,-0.7732,0.1645,-2.575,False,False
原材料 → 行业,chem,Books,6,1,0.3271,0.0126,0.0345,-0.0902,0.9799,-2.4959,False,False
原材料 → 行业,chem,Books,6,3,0.7399,0.0068,0.0317,-0.3035,0.332,-2.7089,False,False
原材料 → 行业,chem,Books,6,6,0.9178,0.0009,0.0157,-0.6288,0.1032,-3.3112,False,False
原材料 → 行业,chem,Boxes,1,1,0.6653,0.3169,-0.1129,-0.2074,-0.4326,-1.0007,False,False
原材料 → 行业,chem,Boxes,1,3,0.0584,0.0294,-1.1367,-0.753,-1.8928,-2.1784,False,False
原材料 → 行业,chem,Boxes,1,6,0.0121,0.0109,-2.3317,-1.3794,-2.5097,-2.5447,False,False
原材料 → 行业,chem,Boxes,3,1,0.1355,0.0776,-0.155,-0.1207,-1.4927,-1.7645,False,False
原材料 → 行业,chem,Boxes,3,3,0.0249,0.0404,-0.5573,-0.329,-2.2424,-2.0499,False,False
原材料 → 行业,chem,Boxes,3,6,0.0004,0.0453,-1.08,-0.5865,-3.5379,-2.0017,True,True
原材料 → 行业,chem,Boxes,6,1,0.0355,0.0327,-0.1011,-0.0879,-2.1027,-2.1362,False,False
原材料 → 行业,chem,Boxes,6,3,0.0015,0.0672,-0.313,-0.2038,-3.1676,-1.8307,True,True
原材料 → 行业,chem,Boxes,6,6,0.0,0.228,-0.5669,-0.2255,-4.1684,-1.2056,True,False
原材料 → 行业,chem,BusSv,1,1,0.7236,0.3124,-0.0571,-0.1178,-0.3537,-1.0103,False,False
原材料 → 行业,chem,BusSv,1,3,0.551,0.9334,0.1916,-0.0206,0.5962,-0.0835,False,False
原材料 → 行业,chem,BusSv,1,6,0.7884,0.6775,0.135,-0.2052,0.2684,-0.4159,False,False
原材料 → 行业,chem,BusSv,3,1,0.7663,0.7419,0.0148,0.0153,0.2972,0.3293,False,False
原材料 → 行业,chem,BusSv,3,3,0.5917,0.8553,0.067,0.0229,0.5364,0.1824,False,False
原材料 → 行业,chem,BusSv,3,6,0.7688,0.7349,0.0534,-0.1076,0.294,-0.3387,False,False
原材料 → 行业,chem,BusSv,6,1,0.931,0.7359,0.0022,-0.0112,0.0866,-0.3374,False,False
原材料 → 行业,chem,BusSv,6,3,0.7638,0.7778,0.0183,-0.0335,0.3005,-0.2821,False,False
原材料 → 行业,chem,BusSv,6,6,0.6985,0.6724,0.0384,-0.1146,0.3873,-0.4229,False,False
原材料 → 行业,chem,Chems,1,1,0.8644,0.9865,0.0332,0.0025,0.1707,0.0169,False,False
