cand,A_H1_cagr,A_H1_dd,A_H1_calmar,A_H1_sw_yr,A_H2_cagr,A_H2_dd,A_H2_calmar,A_H2_sw_yr,A_ALL_cagr,A_ALL_dd,A_ALL_calmar,A_ALL_sw_yr,w20_cagr,w20_dd,w20_dd_exact,w20_calmar,w20_core_trades,w5_cagr,w5_dd,w5_dd_exact,w5_calmar,w5_core_trades
BH,9.03,-43.34,0.208,0.0,12.83,-63.31,0.203,0.0,11.15,-63.31,0.176,0.0,,,,,,,,,,
T0,10.85,-23.16,0.468,0.38,12.25,-30.44,0.403,0.77,11.63,-30.44,0.382,0.6,13.22,-35.0,-35.00114557531955,0.38,542.0,23.48,-21.78,-21.780183138812514,1.08,144.0
T1,3.35,-54.81,0.061,1.25,9.87,-36.48,0.271,0.77,6.97,-54.81,0.127,0.98,11.61,-40.37,-40.37388703526054,0.29,545.0,22.61,-21.79,-21.785111191717256,1.04,161.0
T2,10.9,-31.06,0.351,0.5,13.22,-33.84,0.391,0.58,12.2,-33.84,0.36,0.54,14.99,-36.49,-36.48953736508578,0.41,580.0,26.39,-18.13,-18.12946798548516,1.46,175.0
T3,9.98,-28.86,0.346,2.13,12.52,-30.44,0.411,1.25,11.4,-30.44,0.374,1.63,13.94,-34.78,-34.783868967012545,0.4,573.0,23.53,-21.79,-21.788436465489134,1.08,166.0
T4,10.97,-23.16,0.473,0.38,11.36,-32.01,0.355,1.06,11.18,-32.01,0.349,0.76,12.6,-38.53,-38.534343758550015,0.33,538.0,19.06,-20.58,-20.57560202213645,0.93,144.0
T5,9.13,-31.06,0.294,0.63,11.97,-34.71,0.345,0.87,10.72,-34.71,0.309,0.76,13.39,-39.16,-39.15811939181976,0.34,536.0,24.61,-21.78,-21.778331766897253,1.13,132.0
T6,10.5,-23.16,0.453,0.69,9.75,-34.01,0.287,2.12,10.07,-34.01,0.296,1.5,11.34,-37.7,-37.698568898860664,0.3,558.0,21.16,-14.42,-14.417289162551816,1.47,159.0
