family,src,target,w,h,half,slope,t,n,p,sign
成本,46,その他製品,1,1,H2,0.13132,2.44806,119,0.01436,-1
成本,46,その他製品,1,3,H1,0.08175,0.4961,119,0.61982,-1
成本,46,その他製品,1,3,H2,0.3025,2.92787,117,0.00341,-1
成本,46,その他製品,1,6,H1,-0.0879,-0.58498,119,0.55856,-1
成本,46,その他製品,1,6,H2,0.28437,1.44068,114,0.14967,-1
成本,46,その他製品,3,1,H1,0.01683,0.44023,119,0.65977,-1
成本,46,その他製品,3,1,H2,0.06046,2.76282,119,0.00573,-1
成本,46,その他製品,3,3,H1,-0.06594,-0.86251,119,0.3884,-1
成本,46,その他製品,3,3,H2,0.10288,1.88231,117,0.05979,-1
成本,46,その他製品,3,6,H1,-0.09568,-1.19978,119,0.23023,-1
成本,46,その他製品,3,6,H2,0.05885,0.57172,114,0.56751,-1
成本,46,その他製品,6,1,H1,-0.01802,-0.90622,119,0.36482,-1
成本,46,その他製品,6,1,H2,0.02117,1.69446,119,0.09018,-1
成本,46,その他製品,6,3,H1,-0.0605,-1.38392,119,0.16638,-1
成本,46,その他製品,6,3,H2,0.02193,0.58707,117,0.55716,-1
成本,46,その他製品,6,6,H1,-0.0995,-1.3602,119,0.17377,-1
成本,46,その他製品,6,6,H2,-0.05214,-0.72624,114,0.46769,-1
成本,27,その他製品,1,1,H1,0.02286,0.35709,119,0.72103,-1
成本,27,その他製品,1,1,H2,0.05971,0.8196,119,0.41245,-1
成本,27,その他製品,1,3,H1,0.14035,1.17452,119,0.24019,-1
成本,27,その他製品,1,3,H2,0.21086,1.66197,117,0.09652,-1
成本,27,その他製品,1,6,H1,0.33448,1.68685,119,0.09163,-1
成本,27,その他製品,1,6,H2,0.5724,3.15471,114,0.00161,-1
成本,27,その他製品,3,1,H1,0.02322,0.92917,119,0.3528,-1
成本,27,その他製品,3,1,H2,0.0463,1.67809,119,0.09333,-1
成本,27,その他製品,3,3,H1,0.09408,2.05304,119,0.04007,-1
成本,27,その他製品,3,3,H2,0.17502,2.69712,117,0.00699,-1
成本,27,その他製品,3,6,H1,0.15803,1.78973,119,0.0735,-1
成本,27,その他製品,3,6,H2,0.35566,3.71756,114,0.0002,-1
成本,27,その他製品,6,1,H1,0.01694,1.15843,119,0.24669,-1
成本,27,その他製品,6,1,H2,0.05508,2.87755,119,0.00401,-1
成本,27,その他製品,6,3,H1,0.04578,1.18407,119,0.23638,-1
成本,27,その他製品,6,3,H2,0.16712,3.94484,117,8e-05,-1
成本,27,その他製品,6,6,H1,0.06072,0.87178,119,0.38333,-1
成本,27,その他製品,6,6,H2,0.28438,5.11406,114,0.0,-1
成本,28,その他製品,1,1,H1,0.95585,1.92073,119,0.05477,-1
成本,28,その他製品,1,1,H2,0.57123,2.30643,119,0.02109,-1
成本,28,その他製品,1,3,H1,1.10899,1.14733,119,0.25125,-1
成本,28,その他製品,1,3,H2,0.50254,0.91311,117,0.36118,-1
成本,28,その他製品,1,6,H1,1.55726,1.37366,119,0.16955,-1
成本,28,その他製品,1,6,H2,-0.26935,-0.3497,114,0.72657,-1
成本,28,その他製品,3,1,H1,0.21779,1.00034,119,0.31715,-1
成本,28,その他製品,3,1,H2,0.12743,1.02443,119,0.30563,-1
成本,28,その他製品,3,3,H1,0.65978,1.58583,119,0.11278,-1
成本,28,その他製品,3,3,H2,0.0755,0.27565,117,0.78282,-1
成本,28,その他製品,3,6,H1,0.43482,0.74084,119,0.45879,-1
成本,28,その他製品,3,6,H2,-0.34422,-0.69795,114,0.48521,-1
成本,28,その他製品,6,1,H1,0.09086,0.8562,119,0.39189,-1
成本,28,その他製品,6,1,H2,0.02129,0.36581,119,0.71451,-1
成本,28,その他製品,6,3,H1,0.09515,0.38376,119,0.70116,-1
成本,28,その他製品,6,3,H2,-0.06687,-0.40058,117,0.68873,-1
成本,28,その他製品,6,6,H1,0.06939,0.16807,119,0.86653,-1
成本,28,その他製品,6,6,H2,-0.32344,-0.99076,114,0.3218,-1
成本,39,その他金融業,1,1,H1,0.69536,0.31208,119,0.75498,-1
成本,39,その他金融業,1,1,H2,-0.34436,-0.70255,119,0.48234,-1
成本,39,その他金融業,1,3,H1,-7.26733,-2.09244,119,0.0364,-1
成本,39,その他金融業,1,3,H2,-0.08162,-0.09951,117,0.92073,-1
成本,39,その他金融業,1,6,H1,-5.75073,-1.03488,119,0.30072,-1
成本,39,その他金融業,1,6,H2,-1.27035,-0.95949,114,0.33731,-1
成本,39,その他金融業,3,1,H1,-1.00947,-1.67217,119,0.09449,-1
成本,39,その他金融業,3,1,H2,0.0101,0.04645,119,0.96295,-1
成本,39,その他金融業,3,3,H1,-3.20998,-2.0121,119,0.04421,-1
成本,39,その他金融業,3,3,H2,-0.45982,-0.97984,117,0.32717,-1
成本,39,その他金融業,3,6,H1,-5.32828,-2.58981,119,0.0096,-1
成本,39,その他金融業,3,6,H2,-1.25405,-1.54569,114,0.12218,-1
成本,39,その他金融業,6,1,H1,-0.45425,-1.17093,119,0.24163,-1
成本,39,その他金融業,6,1,H2,-0.09303,-0.81668,119,0.41411,-1
成本,39,その他金融業,6,3,H1,-2.49589,-2.30959,119,0.02091,-1
成本,39,その他金融業,6,3,H2,-0.39712,-1.38308,117,0.16664,-1
成本,39,その他金融業,6,6,H1,-3.61375,-2.28771,119,0.02215,-1
成本,39,その他金融業,6,6,H2,-0.96281,-1.90736,114,0.05647,-1
成本,25,ガラス・土石製品,1,1,H1,0.45405,0.73332,119,0.46336,-1
成本,25,ガラス・土石製品,1,1,H2,-0.22394,-0.49711,119,0.61911,-1
成本,25,ガラス・土石製品,1,3,H1,0.28383,0.21855,119,0.827,-1
成本,25,ガラス・土石製品,1,3,H2,0.51695,0.66204,117,0.50795,-1
成本,25,ガラス・土石製品,1,6,H1,-0.89726,-0.48856,119,0.62515,-1
成本,25,ガラス・土石製品,1,6,H2,0.98593,0.76165,114,0.44627,-1
成本,25,ガラス・土石製品,3,1,H1,0.10351,0.38478,119,0.7004,-1
成本,25,ガラス・土石製品,3,1,H2,0.06378,0.4378,119,0.66153,-1
成本,25,ガラス・土石製品,3,3,H1,-0.43912,-0.60561,119,0.54478,-1
成本,25,ガラス・土石製品,3,3,H2,0.1978,0.61047,117,0.54155,-1
成本,25,ガラス・土石製品,3,6,H1,-0.50798,-0.48336,119,0.62884,-1
成本,25,ガラス・土石製品,3,6,H2,0.64781,1.15279,114,0.249,-1
成本,25,ガラス・土石製品,6,1,H1,-0.06549,-0.35393,119,0.72339,-1
成本,25,ガラス・土石製品,6,1,H2,0.01066,0.15873,119,0.87388,-1
成本,25,ガラス・土石製品,6,3,H1,-0.144,-0.29991,119,0.76424,-1
