detector,kind,params,US_tr_n_days,US_tr_acc,US_tr_bull_recall,US_tr_bear_recall,US_tr_bal_acc,US_tr_switches_per_yr,US_tr_bear_phases,US_tr_bear_lag_med,US_tr_bear_lag_mean,US_tr_bull_lag_med,US_tr_missed_bears,US_tr_false_alarms,US_tr_bh_cagr,US_tr_bh_dd,US_tr_bh_calmar,US_tr_sw_cagr,US_tr_sw_dd,US_tr_sw_calmar,US_tr_inv_cagr,US_tr_inv_dd,US_tr_inv_calmar,US_te_n_days,US_te_acc,US_te_bull_recall,US_te_bear_recall,US_te_bal_acc,US_te_switches_per_yr,US_te_bear_phases,US_te_bear_lag_med,US_te_bear_lag_mean,US_te_bull_lag_med,US_te_missed_bears,US_te_false_alarms,US_te_bh_cagr,US_te_bh_dd,US_te_bh_calmar,US_te_sw_cagr,US_te_sw_dd,US_te_sw_calmar,US_te_inv_cagr,US_te_inv_dd,US_te_inv_calmar,JP_tr_n_days,JP_tr_acc,JP_tr_bull_recall,JP_tr_bear_recall,JP_tr_bal_acc,JP_tr_switches_per_yr,JP_tr_bear_phases,JP_tr_bear_lag_med,JP_tr_bear_lag_mean,JP_tr_bull_lag_med,JP_tr_missed_bears,JP_tr_false_alarms,JP_tr_bh_cagr,JP_tr_bh_dd,JP_tr_bh_calmar,JP_tr_sw_cagr,JP_tr_sw_dd,JP_tr_sw_calmar,JP_tr_inv_cagr,JP_tr_inv_dd,JP_tr_inv_calmar,JP_te_n_days,JP_te_acc,JP_te_bull_recall,JP_te_bear_recall,JP_te_bal_acc,JP_te_switches_per_yr,JP_te_bear_phases,JP_te_bear_lag_med,JP_te_bear_lag_mean,JP_te_bull_lag_med,JP_te_missed_bears,JP_te_false_alarms,JP_te_bh_cagr,JP_te_bh_dd,JP_te_bh_calmar,JP_te_sw_cagr,JP_te_sw_dd,JP_te_sw_calmar,JP_te_inv_cagr,JP_te_inv_dd,JP_te_inv_calmar,eligible,obj,sw_mean
"ma_band(L=200,b=0.02,k=3)",ma_band,"{""L"": 200, ""b"": 0.02, ""k"": 3}",13841,0.7729,0.7878,0.7031,0.7454,1.127,9,55.0,69.2,101.0,0,21,7.77,-49.15,0.158,6.79,-34.25,0.198,4.72,-46.64,0.101,5212,0.8388,0.8402,0.8269,0.8336,1.062,4,21.5,19.2,62.0,0,7,9.18,-56.78,0.162,7.95,-24.45,0.325,4.19,-34.81,0.12,9860,0.7575,0.7689,0.7296,0.7492,1.4,14,35.0,38.5,70.0,1,11,6.27,-80.45,0.078,6.38,-37.33,0.171,4.18,-59.02,0.071,5069,0.7282,0.7182,0.7651,0.7417,1.93,11,24.0,21.9,54.0,2,12,7.0,-61.37,0.114,4.2,-36.66,0.115,-1.57,-71.07,-0.022,False,0.7473,1.2635
"ma_band(L=200,b=0.02,k=5)",ma_band,"{""L"": 200, ""b"": 0.02, ""k"": 5}",13841,0.7684,0.7885,0.6738,0.7312,0.946,9,73.0,77.1,103.0,0,16,7.77,-49.15,0.158,7.12,-33.24,0.214,5.41,-43.04,0.126,5212,0.8519,0.8541,0.8324,0.8433,0.772,4,23.5,22.8,64.0,0,5,9.18,-56.78,0.162,7.6,-32.1,0.237,3.73,-52.22,0.071,9860,0.7667,0.7814,0.7306,0.756,1.1,14,37.0,42.5,72.0,1,7,6.27,-80.45,0.078,6.88,-31.71,0.217,5.18,-55.12,0.094,5069,0.7232,0.7162,0.7493,0.7328,1.544,11,26.0,24.1,56.0,2,8,7.0,-61.37,0.114,4.49,-36.12,0.124,-1.01,-65.84,-0.015,False,0.7436,1.0230000000000001
"ma_band(L=200,b=0.02,k=10)",ma_band,"{""L"": 200, ""b"": 0.02, ""k"": 10}",13841,0.7682,0.8006,0.6157,0.7082,0.691,9,89.0,94.9,108.0,0,10,7.77,-49.15,0.158,7.53,-33.24,0.227,6.27,-42.49,0.148,5212,0.8315,0.8409,0.7514,0.7961,0.772,4,34.5,33.8,83.0,0,5,9.18,-56.78,0.162,6.99,-29.53,0.237,2.74,-54.9,0.05,9860,0.749,0.7794,0.6741,0.7268,0.95,14,44.5,61.9,79.5,2,6,6.27,-80.45,0.078,6.12,-41.11,0.149,3.76,-51.41,0.073,5069,0.7212,0.7265,0.7018,0.7141,1.062,11,35.0,32.0,62.0,2,4,7.0,-61.37,0.114,5.36,-36.88,0.145,0.83,-63.54,0.013,True,0.7175,0.8205
"ma_band(L=200,b=0.03,k=1)",ma_band,"{""L"": 200, ""b"": 0.03, ""k"": 1}",13841,0.7682,0.7807,0.7093,0.745,1.018,9,54.0,68.3,101.0,0,18,7.77,-49.15,0.158,7.4,-25.69,0.288,5.8,-43.65,0.133,5212,0.8377,0.8368,0.8453,0.841,1.062,4,17.0,16.8,65.0,0,7,9.18,-56.78,0.162,8.05,-22.02,0.366,4.29,-37.73,0.114,9860,0.7642,0.7656,0.7608,0.7632,1.35,14,27.0,34.3,70.0,0,10,6.27,-80.45,0.078,6.17,-33.9,0.182,3.69,-55.75,0.066,5069,0.7293,0.7107,0.7987,0.7547,1.834,11,18.5,20.0,54.0,1,11,7.0,-61.37,0.114,3.25,-36.57,0.089,-3.46,-81.95,-0.042,False,0.7541,1.1840000000000002
"ma_band(L=200,b=0.03,k=3)",ma_band,"{""L"": 200, ""b"": 0.03, ""k"": 3}",13841,0.764,0.7897,0.6429,0.7163,0.836,9,76.0,88.4,107.5,0,14,7.77,-49.15,0.158,7.08,-34.37,0.206,5.3,-48.21,0.11,5212,0.8386,0.8434,0.7974,0.8204,0.772,4,24.5,27.5,76.0,0,5,9.18,-56.78,0.162,7.52,-24.06,0.312,3.44,-43.95,0.078,9860,0.7598,0.7714,0.7313,0.7514,1.1,14,38.0,43.3,78.5,1,7,6.27,-80.45,0.078,6.37,-35.87,0.177,4.17,-60.46,0.069,5069,0.7169,0.702,0.7726,0.7373,1.448,11,27.0,23.6,56.0,2,8,7.0,-61.37,0.114,4.1,-40.49,0.101,-1.8,-67.51,-0.027,False,0.73385,0.968
"ma_band(L=200,b=0.03,k=5)",ma_band,"{""L"": 200, ""b"": 0.03, ""k"": 5}",13841,0.7704,0.7996,0.633,0.7163,0.691,9,78.0,90.2,109.5,0,10,7.77,-49.15,0.158,7.41,-33.24,0.223,5.98,-41.44,0.144,5212,0.8383,0.846,0.7716,0.8088,0.772,4,30.5,31.0,78.0,0,5,9.18,-56.78,0.162,7.74,-26.74,0.29,4.08,-50.48,0.081,9860,0.7486,0.7734,0.6875,0.7305,1.05,14,42.0,52.9,75.5,1,6,6.27,-80.45,0.078,6.12,-35.61,0.172,3.73,-55.39,0.067,5069,0.7138,0.712,0.7204,0.7162,1.062,11,30.0,29.8,58.0,2,4,7.0,-61.37,0.114,5.77,-35.77,0.161,1.46,-60.72,0.024,False,0.7234,0.8705
"ma_band(L=200,b=0.03,k=10)",ma_band,"{""L"": 200, ""b"": 0.03, ""k"": 10}",13841,0.77,0.8069,0.5963,0.7016,0.655,9,102.0,100.1,132.5,0,9,7.77,-49.15,0.158,7.15,-33.24,0.215,5.54,-40.61,0.136,5212,0.8202,0.8364,0.6814,0.7589,0.772,4,44.5,43.2,83.0,0,5,9.18,-56.78,0.162,5.86,-33.75,0.174,0.63,-62.06,0.01,9860,0.7601,0.7847,0.6998,0.7422,0.75,14,48.0,64.8,91.5,2,4,6.27,-80.45,0.078,6.82,-36.48,0.187,5.09,-49.99,0.102,5069,0.6883,0.7152,0.5881,0.6516,0.869,11,35.0,41.4,62.0,4,4,7.0,-61.37,0.114,5.31,-37.28,0.142,0.91,-69.35,0.013,True,0.7219,0.7025
"ma_band(L=200,b=0.05,k=1)",ma_band,"{""L"": 200, ""b"": 0.05, ""k"": 1}",13841,0.7809,0.8115,0.6371,0.7243,0.691,9,83.0,89.9,111.0,0,10,7.77,-49.15,0.158,7.24,-21.94,0.33,5.57,-38.05,0.146,5212,0.8331,0.8304,0.8564,0.8434,0.772,4,22.0,19.5,76.0,0,5,9.18,-56.78,0.162,7.75,-23.91,0.324,3.78,-45.17,0.084,9860,0.7528,0.7606,0.7338,0.7472,0.85,14,29.5,50.4,79.5,0,4,6.27,-80.45,0.078,6.78,-33.38,0.203,4.85,-52.44,0.093,5069,0.7116,0.6957,0.7707,0.7332,1.158,11,20.5,23.0,57.0,1,4,7.0,-61.37,0.114,3.56,-44.61,0.08,-2.9,-75.09,-0.039,True,0.73575,0.7705
"ma_band(L=200,b=0.05,k=3)",ma_band,"{""L"": 200, ""b"": 0.05, ""k"": 3}",13841,0.7814,0.8217,0.5913,0.7065,0.655,9,102.0,102.2,131.5,0,9,7.77,-49.15,0.158,6.63,-33.71,0.197,4.5,-45.9,0.098,5212,0.8043,0.8152,0.7109,0.763,0.772,4,37.5,39.2,90.0,0,5,9.18,-56.78,0.162,6.17,-24.41,0.253,0.87,-59.68,0.015,9860,0.7717,0.7829,0.7443,0.7636,0.7,14,38.0,55.5,73.0,1,4,6.27,-80.45,0.078,7.23,-28.86,0.25,5.82,-53.59,0.109,5069,0.7388,0.736,0.7493,0.7426,0.965,11,28.0,26.3,59.0,2,3,7.0,-61.37,0.114,4.62,-46.72,0.099,-0.66,-69.72,-0.009,True,0.73505,0.6775
"ma_band(L=200,b=0.05,k=5)",ma_band,"{""L"": 200, ""b"": 0.05, ""k"": 5}",13841,0.7804,0.8219,0.5847,0.7033,0.618,9,104.0,104.0,133.5,0,8,7.77,-49.15,0.158,6.61,-33.24,0.199,4.49,-39.9,0.112,5212,0.7926,0.8057,0.6796,0.7426,0.772,4,43.0,43.5,92.0,0,5,9.18,-56.78,0.162,5.38,-28.77,0.187,-0.47,-62.25,-0.008,9860,0.7689,0.7846,0.7303,0.7574,0.65,14,42.0,61.9,83.0,2,4,6.27,-80.45,0.078,7.27,-31.28,0.232,5.92,-49.63,0.119,5069,0.7063,0.7342,0.6021,0.6681,0.772,11,35.0,43.9,76.0,2,1,7.0,-61.37,0.114,4.79,-39.51,0.121,-0.2,-68.68,-0.003,True,0.73035,0.634
"ma_band(L=200,b=0.05,k=10)",ma_band,"{""L"": 200, ""b"": 0.05, ""k"": 10}",13841,0.7808,0.8306,0.5464,0.6885,0.546,9,119.0,116.0,138.5,0,6,7.77,-49.15,0.158,6.41,-33.24,0.193,4.14,-45.41,0.091,5212,0.8162,0.8353,0.6519,0.7436,0.676,4,48.0,47.2,97.0,0,4,9.18,-56.78,0.162,5.45,-33.69,0.162,-0.08,-62.07,-0.001,9860,0.7587,0.7823,0.7008,0.7415,0.6,14,47.0,68.9,103.0,2,3,6.27,-80.45,0.078,6.62,-45.37,0.146,4.67,-59.9,0.078,5069,0.6763,0.7262,0.4902,0.6082,0.772,11,40.0,56.4,66.0,4,3,7.0,-61.37,0.114,3.94,-41.51,0.095,-1.55,-76.89,-0.02,True,0.7150000000000001,0.573
"ma_band(L=250,b=0.0,k=1)",ma_band,"{""L"": 250, ""b"": 0.0, ""k"": 1}",13841,0.7781,0.7962,0.6928,0.7445,4.764,9,36.0,45.8,101.5,0,91,7.77,-49.15,0.158,7.42,-23.85,0.311,6.25,-37.04,0.169,5212,0.8553,0.8593,0.8214,0.8403,5.695,4,10.5,10.8,71.0,0,43,9.18,-56.78,0.162,6.16,-22.51,0.274,1.2,-51.1,0.024,9854,0.7825,0.8012,0.7366,0.7689,4.805,14,17.0,29.8,53.5,0,49,6.27,-80.45,0.078,6.42,-40.38,0.159,4.58,-63.68,0.072,5069,0.7579,0.7605,0.7484,0.7544,8.494,11,14.0,15.1,51.0,1,61,7.0,-61.37,0.114,3.36,-41.4,0.081,-2.64,-78.65,-0.034,False,0.7567,4.7844999999999995
"ma_band(L=250,b=0.0,k=3)",ma_band,"{""L"": 250, ""b"": 0.0, ""k"": 3}",13841,0.7765,0.7956,0.6866,0.7411,2.182,9,48.0,63.0,108.0,0,40,7.77,-49.15,0.158,7.27,-33.24,0.219,5.79,-45.98,0.126,5212,0.85,0.8563,0.7956,0.8259,2.317,4,20.5,18.8,76.0,0,18,9.18,-56.78,0.162,6.76,-20.1,0.336,2.11,-47.48,0.044,9854,0.7772,0.7982,0.7257,0.762,2.252,14,25.0,42.9,59.0,1,22,6.27,-80.45,0.078,6.81,-30.81,0.221,5.14,-52.15,0.099,5069,0.7518,0.756,0.7363,0.7461,2.992,11,17.0,20.8,53.0,2,21,7.0,-61.37,0.114,5.41,-45.5,0.119,0.99,-72.38,0.014,False,0.7515499999999999,2.2169999999999996
"ma_band(L=250,b=0.0,k=5)",ma_band,"{""L"": 250, ""b"": 0.0, ""k"": 5}",13841,0.7778,0.7963,0.6907,0.7435,1.527,9,57.0,65.7,110.0,0,29,7.77,-49.15,0.158,7.54,-33.24,0.227,6.28,-42.25,0.149,5212,0.8536,0.8623,0.779,0.8206,1.351,4,22.5,22.2,78.0,0,9,9.18,-56.78,0.162,7.13,-28.17,0.253,2.92,-47.91,0.061,9854,0.7721,0.7965,0.712,0.7543,1.602,14,32.0,53.4,64.0,2,16,6.27,-80.45,0.078,7.93,-26.75,0.297,7.34,-41.64,0.176,5069,0.7457,0.7528,0.7195,0.7361,2.124,11,19.0,22.3,55.0,2,12,7.0,-61.37,0.114,5.41,-43.89,0.123,0.93,-73.84,0.013,False,0.7489,1.5645
"ma_band(L=250,b=0.0,k=10)",ma_band,"{""L"": 250, ""b"": 0.0, ""k"": 10}",13841,0.7662,0.7897,0.6557,0.7227,0.909,9,77.0,82.3,132.0,0,15,7.77,-49.15,0.158,7.49,-33.24,0.225,6.17,-39.04,0.158,5212,0.8557,0.8664,0.7643,0.8153,1.158,4,27.5,26.0,83.0,0,8,9.18,-56.78,0.162,6.95,-34.05,0.204,2.78,-52.75,0.053,9854,0.7631,0.7901,0.6969,0.7435,1.101,14,37.0,59.8,69.5,2,9,6.27,-80.45,0.078,7.31,-29.58,0.247,6.06,-44.34,0.137,5069,0.741,0.7558,0.6859,0.7208,1.544,11,31.0,27.8,62.0,2,7,7.0,-61.37,0.114,4.61,-41.96,0.11,-0.47,-77.59,-0.006,False,0.7331000000000001,1.005
"ma_band(L=250,b=0.01,k=1)",ma_band,"{""L"": 250, ""b"": 0.01, ""k"": 1}",13841,0.7735,0.7905,0.6936,0.742,2.037,9,38.0,48.7,108.0,0,38,7.77,-49.15,0.158,7.02,-24.27,0.289,5.19,-42.84,0.121,5212,0.8505,0.8537,0.8232,0.8385,2.799,4,13.5,15.0,75.0,0,22,9.18,-56.78,0.162,6.38,-20.11,0.317,1.32,-49.3,0.027,9854,0.778,0.7969,0.7313,0.7641,2.252,14,19.0,40.3,57.5,0,20,6.27,-80.45,0.078,6.58,-32.31,0.204,4.63,-50.96,0.091,5069,0.75,0.7533,0.7381,0.7457,3.764,11,18.5,19.4,53.0,1,24,7.0,-61.37,0.114,3.91,-43.13,0.091,-1.96,-73.84,-0.027,False,0.75305,2.1445
"ma_band(L=250,b=0.01,k=3)",ma_band,"{""L"": 250, ""b"": 0.01, ""k"": 3}",13841,0.7747,0.7954,0.6771,0.7362,1.2,9,49.0,73.2,112.5,0,21,7.77,-49.15,0.158,7.47,-33.24,0.225,6.11,-43.31,0.141,5212,0.8523,0.8582,0.8011,0.8297,1.641,4,21.5,19.5,77.0,0,12,9.18,-56.78,0.162,6.18,-25.34,0.244,0.97,-58.32,0.017,9854,0.7702,0.7955,0.7082,0.7518,1.451,14,31.5,55.4,62.5,2,15,6.27,-80.45,0.078,7.17,-32.09,0.223,5.8,-48.42,0.12,5069,0.7437,0.7472,0.7307,0.739,1.737,11,24.0,22.0,57.0,2,8,7.0,-61.37,0.114,5.86,-40.2,0.146,1.73,-70.17,0.025,False,0.744,1.3255
"ma_band(L=250,b=0.01,k=5)",ma_band,"{""L"": 250, ""b"": 0.01, ""k"": 5}",13841,0.7675,0.791,0.6569,0.724,0.946,9,75.0,84.8,132.0,0,17,7.77,-49.15,0.158,7.57,-33.24,0.228,6.3,-37.08,0.17,5212,0.8582,0.8664,0.7882,0.8273,1.158,4,23.5,23.0,79.0,0,8,9.18,-56.78,0.162,6.41,-28.76,0.223,1.55,-55.16,0.028,9854,0.7689,0.7948,0.7054,0.7501,1.151,14,33.5,57.4,65.0,2,10,6.27,-80.45,0.078,7.36,-29.79,0.247,6.16,-42.52,0.145,5069,0.7453,0.7513,0.7232,0.7372,1.544,11,26.0,23.6,59.0,2,7,7.0,-61.37,0.114,5.0,-43.06,0.116,0.11,-73.83,0.001,False,0.73705,1.0485
"ma_band(L=250,b=0.01,k=10)",ma_band,"{""L"": 250, ""b"": 0.01, ""k"": 10}",13841,0.7638,0.7944,0.6198,0.7071,0.727,9,89.0,94.8,137.0,0,11,7.77,-49.15,0.158,7.4,-33.24,0.223,6.01,-38.39,0.157,5212,0.8469,0.8653,0.6888,0.777,0.772,4,43.0,42.2,84.0,0,5,9.18,-56.78,0.162,7.3,-33.53,0.218,3.46,-54.79,0.063,9854,0.7574,0.7855,0.6882,0.7369,1.001,14,44.0,62.5,78.0,2,7,6.27,-80.45,0.078,6.44,-41.98,0.153,4.35,-47.97,0.091,5069,0.7319,0.748,0.6719,0.71,1.255,11,31.0,28.9,64.0,2,4,7.0,-61.37,0.114,4.78,-41.62,0.115,-0.17,-74.62,-0.002,False,0.722,0.8639999999999999
"ma_band(L=250,b=0.02,k=1)",ma_band,"{""L"": 250, ""b"": 0.02, ""k"": 1}",13841,0.7734,0.7907,0.692,0.7413,1.055,9,47.0,72.3,112.5,0,18,7.77,-49.15,0.158,7.24,-34.73,0.208,5.6,-49.22,0.114,5212,0.8461,0.8492,0.8195,0.8344,1.544,4,17.5,17.2,76.0,0,11,9.18,-56.78,0.162,6.69,-24.43,0.274,1.84,-52.55,0.035,9854,0.7732,0.7941,0.7219,0.758,1.501,14,24.5,48.0,59.5,0,15,6.27,-80.45,0.078,6.97,-30.69,0.227,5.37,-45.42,0.118,5069,0.738,0.7352,0.7484,0.7418,2.124,11,20.0,20.1,56.0,1,11,7.0,-61.37,0.114,4.32,-38.1,0.113,-1.41,-72.57,-0.019,False,0.7496499999999999,1.278
"ma_band(L=250,b=0.02,k=3)",ma_band,"{""L"": 250, ""b"": 0.02, ""k"": 3}",13841,0.7653,0.7898,0.6499,0.7198,0.8,9,76.0,86.8,131.0,0,13,7.77,-49.15,0.158,7.67,-33.24,0.231,6.47,-33.24,0.195,5212,0.8475,0.8565,0.7698,0.8131,1.158,4,22.0,22.0,85.0,0,7,9.18,-56.78,0.162,6.08,-25.61,0.238,0.79,-51.56,0.015,9854,0.7652,0.7897,0.705,0.7473,1.151,14,38.0,58.4,71.0,2,10,6.27,-80.45,0.078,6.71,-31.85,0.211,4.87,-48.28,0.101,5069,0.7333,0.737,0.7195,0.7282,1.544,11,27.0,23.3,58.0,2,7,7.0,-61.37,0.114,4.0,-47.17,0.085,-1.85,-76.82,-0.024,False,0.7335499999999999,0.9755
"ma_band(L=250,b=0.02,k=5)",ma_band,"{""L"": 250, ""b"": 0.02, ""k"": 5}",13841,0.7658,0.7932,0.6371,0.7151,0.727,9,78.0,90.2,133.0,0,11,7.77,-49.15,0.158,7.42,-33.24,0.223,6.0,-37.52,0.16,5212,0.8371,0.8426,0.7901,0.8163,0.869,4,24.0,23.5,98.0,0,5,9.18,-56.78,0.162,7.47,-26.74,0.279,3.52,-51.22,0.069,9854,0.7671,0.7952,0.698,0.7466,1.001,14,40.0,60.4,75.0,2,7,6.27,-80.45,0.078,6.83,-32.82,0.208,5.12,-45.87,0.112,5069,0.7323,0.7417,0.6971,0.7194,1.448,11,29.0,26.0,60.0,2,6,7.0,-61.37,0.114,4.52,-44.04,0.103,-0.77,-74.06,-0.01,False,0.73085,0.8639999999999999
"ma_band(L=250,b=0.02,k=10)",ma_band,"{""L"": 250, ""b"": 0.02, ""k"": 10}",13841,0.7612,0.7953,0.6008,0.6981,0.691,9,102.0,100.1,138.0,0,10,7.77,-49.15,0.158,7.18,-33.24,0.216,5.58,-34.56,0.161,5212,0.8264,0.8428,0.6851,0.7639,0.772,4,43.5,42.8,103.0,0,5,9.18,-56.78,0.162,6.61,-32.0,0.206,2.07,-57.25,0.036,9854,0.7664,0.7872,0.7152,0.7512,0.701,14,45.0,63.4,103.0,2,4,6.27,-80.45,0.078,7.41,-36.6,0.203,6.21,-51.5,0.121,5069,0.7013,0.709,0.6729,0.6909,0.965,11,35.0,31.3,65.0,2,2,7.0,-61.37,0.114,5.57,-32.48,0.172,1.2,-69.18,0.017,True,0.72465,0.696
"ma_band(L=250,b=0.03,k=1)",ma_band,"{""L"": 250, ""b"": 0.03, ""k"": 1}",13841,0.7674,0.7886,0.6676,0.7281,0.8,9,72.0,83.4,130.0,0,13,7.77,-49.15,0.158,7.29,-35.05,0.208,5.7,-49.73,0.115,5212,0.8434,0.8454,0.8269,0.8361,0.965,4,21.0,19.0,76.0,0,6,9.18,-56.78,0.162,7.7,-25.45,0.302,3.71,-42.67,0.087,9854,0.7644,0.7838,0.7166,0.7502,1.201,14,29.5,50.3,70.5,0,9,6.27,-80.45,0.078,6.49,-30.09,0.216,4.39,-45.95,0.096,5069,0.7258,0.7232,0.7353,0.7293,1.737,11,20.0,21.1,58.0,1,8,7.0,-61.37,0.114,3.98,-38.47,0.103,-2.07,-76.67,-0.027,False,0.73915,1.0005000000000002
"ma_band(L=250,b=0.03,k=3)",ma_band,"{""L"": 250, ""b"": 0.03, ""k"": 3}",13841,0.7754,0.803,0.6454,0.7242,0.691,9,77.0,89.4,132.0,0,10,7.77,-49.15,0.158,7.49,-33.24,0.225,6.14,-33.24,0.185,5212,0.8302,0.8404,0.7422,0.7913,0.869,4,30.5,30.5,96.0,0,5,9.18,-56.78,0.162,6.41,-24.06,0.267,1.36,-53.67,0.025,9854,0.7662,0.7862,0.7169,0.7516,0.851,14,40.0,60.8,73.5,2,6,6.27,-80.45,0.078,7.33,-35.41,0.207,6.04,-49.77,0.121,5069,0.7224,0.724,0.7167,0.7203,1.255,11,27.0,23.9,60.0,2,4,7.0,-61.37,0.114,4.24,-47.83,0.089,-1.42,-77.58,-0.018,True,0.7379,0.7709999999999999
"ma_band(L=250,b=0.03,k=5)",ma_band,"{""L"": 250, ""b"": 0.03, ""k"": 5}",13841,0.7785,0.8095,0.6326,0.721,0.655,9,86.0,92.9,134.0,0,9,7.77,-49.15,0.158,7.23,-33.24,0.217,5.64,-37.13,0.152,5212,0.8218,0.8349,0.709,0.7719,0.772,4,39.5,39.5,98.0,0,5,9.18,-56.78,0.162,7.73,-26.74,0.289,4.06,-53.17,0.076,9854,0.7827,0.8062,0.725,0.7656,0.651,14,44.0,63.2,75.5,2,3,6.27,-80.45,0.078,7.94,-33.83,0.235,7.3,-50.09,0.146,5069,0.7197,0.7287,0.6859,0.7073,1.062,11,30.0,29.9,62.0,2,3,7.0,-61.37,0.114,5.6,-36.32,0.154,1.25,-66.32,0.019,True,0.7433,0.653
"ma_band(L=250,b=0.03,k=10)",ma_band,"{""L"": 250, ""b"": 0.03, ""k"": 10}",13841,0.768,0.809,0.5748,0.6919,0.618,9,107.0,106.4,139.0,0,8,7.77,-49.15,0.158,6.91,-33.24,0.208,5.09,-38.86,0.131,5212,0.8218,0.8381,0.6814,0.7597,0.676,4,44.5,43.2,103.0,0,4,9.18,-56.78,0.162,6.49,-33.02,0.197,1.85,-61.15,0.03,9854,0.7644,0.7931,0.6938,0.7434,0.601,14,49.0,68.5,106.0,2,2,6.27,-80.45,0.078,6.91,-45.34,0.152,5.25,-66.17,0.079,5069,0.6761,0.6999,0.5871,0.6435,0.869,11,34.0,41.6,67.0,4,4,7.0,-61.37,0.114,5.03,-36.42,0.138,0.33,-71.65,0.005,True,0.7176499999999999,0.6094999999999999
"ma_band(L=250,b=0.05,k=1)",ma_band,"{""L"": 250, ""b"": 0.05, ""k"": 1}",13841,0.7724,0.8054,0.6173,0.7113,0.655,9,101.0,97.0,134.0,0,9,7.77,-49.15,0.158,6.55,-35.46,0.185,4.28,-50.41,0.085,5212,0.8141,0.8173,0.7864,0.8018,0.772,4,27.5,29.0,99.0,0,5,9.18,-56.78,0.162,6.38,-23.91,0.267,1.18,-58.66,0.02,9854,0.7736,0.7848,0.7461,0.7654,0.701,14,21.5,51.7,66.0,0,3,6.27,-80.45,0.078,7.19,-31.06,0.232,5.72,-49.38,0.116,5069,0.7309,0.729,0.7381,0.7335,1.158,11,20.5,24.2,62.0,1,3,7.0,-61.37,0.114,3.84,-40.62,0.094,-2.27,-80.32,-0.028,True,0.7383500000000001,0.6779999999999999
"ma_band(L=250,b=0.05,k=3)",ma_band,"{""L"": 250, ""b"": 0.05, ""k"": 3}",13841,0.7622,0.8022,0.5736,0.6879,0.655,9,115.0,108.8,137.5,0,9,7.77,-49.15,0.158,6.27,-33.24,0.189,3.79,-44.4,0.085,5212,0.798,0.81,0.6943,0.7522,0.772,4,42.0,41.5,101.0,0,5,9.18,-56.78,0.162,5.7,-26.74,0.213,0.08,-61.63,0.001,9854,0.7648,0.7848,0.7155,0.7502,0.651,14,44.0,65.4,91.0,2,4,6.27,-80.45,0.078,6.75,-36.02,0.187,4.92,-56.05,0.088,5069,0.6964,0.7025,0.6738,0.6881,0.869,11,28.0,35.3,74.0,2,2,7.0,-61.37,0.114,5.14,-39.37,0.131,0.32,-69.97,0.005,True,0.71905,0.653
"ma_band(L=250,b=0.05,k=5)",ma_band,"{""L"": 250, ""b"": 0.05, ""k"": 5}",13841,0.767,0.8095,0.567,0.6882,0.582,9,117.0,110.6,139.5,0,7,7.77,-49.15,0.158,6.6,-33.24,0.199,4.47,-41.76,0.107,5212,0.8081,0.8235,0.6759,0.7497,0.676,4,44.0,44.0,103.0,0,4,9.18,-56.78,0.162,5.73,-30.99,0.185,0.35,-55.18,0.006,9854,0.7645,0.7877,0.7075,0.7476,0.551,14,46.0,67.3,100.0,2,2,6.27,-80.45,0.078,6.8,-51.17,0.133,5.01,-65.86,0.076,5069,0.6627,0.6989,0.5275,0.6132,0.869,11,44.0,52.8,76.0,2,2,7.0,-61.37,0.114,4.22,-40.42,0.104,-1.26,-74.93,-0.017,True,0.7179,0.5665
"ma_band(L=250,b=0.05,k=10)",ma_band,"{""L"": 250, ""b"": 0.05, ""k"": 10}",13841,0.7929,0.8413,0.5649,0.7031,0.436,9,122.0,117.2,144.5,0,4,7.77,-49.15,0.158,7.18,-33.24,0.216,5.66,-42.41,0.134,5212,0.8314,0.8526,0.6483,0.7504,0.579,4,75.0,56.0,108.0,1,4,9.18,-56.78,0.162,6.15,-35.58,0.173,1.39,-60.83,0.023,9854,0.7689,0.8007,0.691,0.7458,0.5,14,43.0,72.6,75.5,4,3,6.27,-80.45,0.078,7.5,-50.13,0.15,6.46,-65.54,0.099,5069,0.6238,0.6739,0.4371,0.5555,0.869,11,64.0,64.6,78.0,4,4,7.0,-61.37,0.114,2.18,-48.69,0.045,-4.94,-87.65,-0.056,True,0.72445,0.46799999999999997
"dd_rally(x=0.07,y=0.07)",dd_rally,"{""x"": 0.07, ""y"": 0.07}",13841,0.7713,0.8118,0.581,0.6964,2.837,9,22.0,28.1,4.0,0,46,7.77,-49.15,0.158,5.1,-46.64,0.109,1.68,-60.92,0.028,5212,0.8287,0.8593,0.5654,0.7123,4.151,4,8.5,10.5,1.5,0,27,9.18,-56.78,0.162,3.07,-59.37,0.052,-4.11,-73.26,-0.056,9860,0.7505,0.8336,0.5461,0.6899,4.151,14,16.5,25.4,3.5,0,36,6.27,-80.45,0.078,5.04,-70.1,0.072,2.34,-82.07,0.029,5069,0.696,0.7515,0.4893,0.6204,6.033,11,15.0,16.5,4.0,0,34,7.0,-61.37,0.114,2.35,-52.78,0.045,-4.28,-78.51,-0.054,False,0.6931499999999999,3.4939999999999998
