detector,kind,params,US_tr_n_days,US_tr_acc,US_tr_bull_recall,US_tr_bear_recall,US_tr_bal_acc,US_tr_switches_per_yr,US_tr_bear_phases,US_tr_bear_lag_med,US_tr_bear_lag_mean,US_tr_bull_lag_med,US_tr_missed_bears,US_tr_false_alarms,US_tr_bh_cagr,US_tr_bh_dd,US_tr_bh_calmar,US_tr_sw_cagr,US_tr_sw_dd,US_tr_sw_calmar,US_tr_inv_cagr,US_tr_inv_dd,US_tr_inv_calmar,US_te_n_days,US_te_acc,US_te_bull_recall,US_te_bear_recall,US_te_bal_acc,US_te_switches_per_yr,US_te_bear_phases,US_te_bear_lag_med,US_te_bear_lag_mean,US_te_bull_lag_med,US_te_missed_bears,US_te_false_alarms,US_te_bh_cagr,US_te_bh_dd,US_te_bh_calmar,US_te_sw_cagr,US_te_sw_dd,US_te_sw_calmar,US_te_inv_cagr,US_te_inv_dd,US_te_inv_calmar,JP_tr_n_days,JP_tr_acc,JP_tr_bull_recall,JP_tr_bear_recall,JP_tr_bal_acc,JP_tr_switches_per_yr,JP_tr_bear_phases,JP_tr_bear_lag_med,JP_tr_bear_lag_mean,JP_tr_bull_lag_med,JP_tr_missed_bears,JP_tr_false_alarms,JP_tr_bh_cagr,JP_tr_bh_dd,JP_tr_bh_calmar,JP_tr_sw_cagr,JP_tr_sw_dd,JP_tr_sw_calmar,JP_tr_inv_cagr,JP_tr_inv_dd,JP_tr_inv_calmar,JP_te_n_days,JP_te_acc,JP_te_bull_recall,JP_te_bear_recall,JP_te_bal_acc,JP_te_switches_per_yr,JP_te_bear_phases,JP_te_bear_lag_med,JP_te_bear_lag_mean,JP_te_bull_lag_med,JP_te_missed_bears,JP_te_false_alarms,JP_te_bh_cagr,JP_te_bh_dd,JP_te_bh_calmar,JP_te_sw_cagr,JP_te_sw_dd,JP_te_sw_calmar,JP_te_inv_cagr,JP_te_inv_dd,JP_te_inv_calmar,eligible,obj,sw_mean
"ma_band(L=150,b=0.05,k=10)",ma_band,"{""L"": 150, ""b"": 0.05, ""k"": 10}",13841,0.8011,0.8562,0.5419,0.699,0.546,9,122.0,115.2,124.0,0,6,7.77,-49.15,0.158,7.11,-33.24,0.214,5.56,-40.64,0.137,5212,0.8079,0.8261,0.6519,0.739,0.676,4,48.0,47.2,86.0,0,4,9.18,-56.78,0.162,5.93,-33.91,0.175,0.81,-63.21,0.013,9860,0.7692,0.8134,0.6605,0.7369,0.75,14,49.5,72.2,89.5,2,3,6.27,-80.45,0.078,6.26,-52.36,0.12,4.11,-63.56,0.065,5069,0.6828,0.7147,0.5638,0.6393,0.869,11,35.0,45.1,45.0,4,4,7.0,-61.37,0.114,4.36,-40.36,0.108,-0.89,-65.93,-0.013,True,0.71795,0.648
"ma_band(L=200,b=0.0,k=1)",ma_band,"{""L"": 200, ""b"": 0.0, ""k"": 1}",13841,0.7681,0.7786,0.7184,0.7485,5.674,9,30.0,39.4,85.0,0,116,7.77,-49.15,0.158,7.23,-30.95,0.234,5.91,-41.62,0.142,5212,0.855,0.8529,0.8729,0.8629,6.564,4,8.5,9.2,44.0,0,55,9.18,-56.78,0.162,5.87,-23.09,0.254,0.66,-53.84,0.012,9860,0.784,0.7998,0.745,0.7724,5.352,14,19.0,25.6,60.0,0,54,6.27,-80.45,0.078,7.13,-33.56,0.212,6.02,-49.01,0.123,5069,0.7485,0.7412,0.7754,0.7583,8.494,11,14.0,14.6,48.0,1,67,7.0,-61.37,0.114,3.27,-34.49,0.095,-2.93,-79.85,-0.037,False,0.7604500000000001,5.513
"ma_band(L=200,b=0.0,k=3)",ma_band,"{""L"": 200, ""b"": 0.0, ""k"": 3}",13841,0.7655,0.7772,0.7101,0.7437,2.582,9,37.0,54.9,96.0,0,52,7.77,-49.15,0.158,6.9,-36.88,0.187,5.04,-50.86,0.099,5212,0.8534,0.8533,0.8545,0.8539,2.51,4,13.0,12.0,46.0,0,20,9.18,-56.78,0.162,6.68,-24.75,0.27,1.88,-41.44,0.045,9860,0.78,0.7987,0.7341,0.7664,2.451,14,34.5,35.8,62.0,0,22,6.27,-80.45,0.078,7.12,-39.6,0.18,5.78,-58.36,0.099,5069,0.7433,0.7395,0.7577,0.7486,4.054,11,16.0,16.9,50.0,2,30,7.0,-61.37,0.114,2.95,-39.95,0.074,-3.66,-80.89,-0.045,False,0.75505,2.5164999999999997
"ma_band(L=200,b=0.0,k=5)",ma_band,"{""L"": 200, ""b"": 0.0, ""k"": 5}",13841,0.7645,0.7777,0.7027,0.7402,1.928,9,48.0,62.4,98.0,0,39,7.77,-49.15,0.158,7.05,-33.24,0.212,5.31,-36.55,0.145,5212,0.8502,0.8494,0.8564,0.8529,2.027,4,15.0,13.5,61.0,0,16,9.18,-56.78,0.162,6.86,-22.57,0.304,2.23,-46.05,0.048,9860,0.7739,0.7967,0.718,0.7573,1.901,14,35.0,35.8,68.5,1,18,6.27,-80.45,0.078,7.19,-37.98,0.189,5.89,-55.62,0.106,5069,0.7364,0.7342,0.7446,0.7394,3.089,11,18.0,22.1,54.0,2,23,7.0,-61.37,0.114,2.41,-45.24,0.053,-4.71,-85.59,-0.055,False,0.74875,1.9144999999999999
"ma_band(L=200,b=0.0,k=10)",ma_band,"{""L"": 200, ""b"": 0.0, ""k"": 10}",13841,0.7658,0.7839,0.6804,0.7322,1.455,9,60.0,69.0,103.0,0,27,7.77,-49.15,0.158,6.24,-34.61,0.18,3.73,-49.98,0.075,5212,0.8511,0.8526,0.8379,0.8453,1.062,4,24.0,22.0,66.0,0,8,9.18,-56.78,0.162,7.76,-33.84,0.229,4.16,-52.46,0.079,9860,0.7633,0.786,0.7075,0.7467,1.35,14,40.0,41.3,73.5,1,9,6.27,-80.45,0.078,6.86,-36.98,0.186,5.2,-55.81,0.093,5069,0.7337,0.7395,0.712,0.7258,1.93,11,23.0,26.0,59.0,2,11,7.0,-61.37,0.114,4.85,-39.5,0.123,-0.1,-65.0,-0.002,False,0.7394499999999999,1.4025
"ma_band(L=200,b=0.01,k=1)",ma_band,"{""L"": 200, ""b"": 0.01, ""k"": 1}",13841,0.7628,0.7726,0.7167,0.7447,2.255,9,36.0,46.9,96.0,0,44,7.77,-49.15,0.158,7.43,-20.71,0.359,5.94,-35.06,0.169,5212,0.8502,0.8479,0.8692,0.8586,2.992,4,9.5,10.2,57.0,0,23,9.18,-56.78,0.162,6.63,-23.01,0.288,1.74,-46.07,0.038,9860,0.7778,0.7926,0.7415,0.767,2.501,14,33.5,34.1,62.0,0,22,6.27,-80.45,0.078,6.63,-40.09,0.165,4.74,-59.39,0.08,5069,0.74,0.731,0.7735,0.7523,4.537,11,14.5,17.5,51.0,1,34,7.0,-61.37,0.114,2.93,-37.2,0.079,-3.94,-82.15,-0.048,False,0.75585,2.378
"ma_band(L=200,b=0.01,k=3)",ma_band,"{""L"": 200, ""b"": 0.01, ""k"": 3}",13841,0.7618,0.7737,0.7056,0.7397,1.564,9,48.0,63.6,98.0,0,30,7.77,-49.15,0.158,6.73,-33.51,0.201,4.62,-45.33,0.102,5212,0.8438,0.8443,0.8398,0.842,1.737,4,14.5,14.2,62.0,0,12,9.18,-56.78,0.162,7.03,-23.42,0.3,2.49,-34.81,0.071,9860,0.7701,0.7876,0.7271,0.7573,1.751,14,35.5,37.6,68.0,0,14,6.27,-80.45,0.078,6.41,-37.3,0.172,4.3,-55.48,0.078,5069,0.7406,0.7347,0.7623,0.7485,2.51,11,17.0,20.1,53.0,2,17,7.0,-61.37,0.114,3.8,-40.74,0.093,-2.24,-76.51,-0.029,False,0.7484999999999999,1.6575
"ma_band(L=200,b=0.01,k=5)",ma_band,"{""L"": 200, ""b"": 0.01, ""k"": 5}",13841,0.7639,0.777,0.7023,0.7396,1.346,9,56.0,67.1,100.0,0,26,7.77,-49.15,0.158,6.73,-33.24,0.202,4.62,-44.97,0.103,5212,0.8561,0.8589,0.8324,0.8456,1.255,4,22.5,20.0,64.0,0,9,9.18,-56.78,0.162,7.03,-29.48,0.239,2.59,-50.24,0.052,9860,0.7623,0.7829,0.7117,0.7473,1.551,14,37.0,39.5,70.0,1,12,6.27,-80.45,0.078,6.35,-41.24,0.154,4.2,-58.62,0.072,5069,0.7364,0.7345,0.7437,0.7391,2.027,11,19.0,22.3,55.0,2,12,7.0,-61.37,0.114,3.7,-40.83,0.091,-2.41,-78.28,-0.031,False,0.7434499999999999,1.4485000000000001
"ma_band(L=200,b=0.01,k=10)",ma_band,"{""L"": 200, ""b"": 0.01, ""k"": 10}",13841,0.7648,0.787,0.6602,0.7236,0.909,9,77.0,80.8,105.0,0,15,7.77,-49.15,0.158,7.28,-33.24,0.219,5.75,-44.38,0.13,5212,0.8411,0.8494,0.7698,0.8096,0.772,4,30.0,31.2,77.0,0,5,9.18,-56.78,0.162,7.83,-29.53,0.265,4.27,-52.03,0.082,9860,0.7566,0.7759,0.7092,0.7425,1.2,14,42.5,48.1,76.0,2,9,6.27,-80.45,0.078,5.94,-41.44,0.143,3.37,-62.32,0.054,5069,0.7191,0.7217,0.7092,0.7155,1.448,11,34.0,28.7,60.0,2,7,7.0,-61.37,0.114,4.29,-35.53,0.121,-1.21,-68.86,-0.018,False,0.73305,1.0545
"ma_band(L=200,b=0.02,k=1)",ma_band,"{""L"": 200, ""b"": 0.02, ""k"": 1}",13841,0.7662,0.7792,0.7052,0.7422,1.527,9,47.0,63.2,99.0,0,29,7.77,-49.15,0.158,6.9,-22.5,0.307,4.87,-43.1,0.113,5212,0.8386,0.8357,0.8637,0.8497,1.93,4,10.5,10.8,58.0,0,13,9.18,-56.78,0.162,7.21,-22.01,0.328,2.72,-35.55,0.077,9860,0.7644,0.7821,0.7208,0.7515,1.751,14,34.0,38.0,73.0,0,13,6.27,-80.45,0.078,6.22,-33.94,0.183,3.86,-50.29,0.077,5069,0.7299,0.7185,0.7726,0.7455,2.799,11,14.5,18.8,52.0,1,19,7.0,-61.37,0.114,3.9,-36.21,0.108,-2.29,-76.24,-0.03,False,0.74685,1.6389999999999998
