family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
外部需求 → 日本,jp_exp,T10,6,1,0,0.5256,0.7403,-0.0197,-0.0139,-0.6348,-0.3315,False,False
外部需求 → 日本,jp_exp,T10,6,1,3,0.1903,0.0833,-0.0308,-0.0826,-1.3097,-1.7319,False,False
外部需求 → 日本,jp_exp,T10,6,1,6,0.0587,0.967,-0.0515,0.002,-1.8903,0.0414,False,False
外部需求 → 日本,jp_exp,T10,6,3,0,0.7302,0.3089,-0.0307,-0.0665,-0.3448,-1.0174,False,False
外部需求 → 日本,jp_exp,T10,6,3,3,0.0411,0.0027,-0.1203,-0.1557,-2.043,-2.9959,False,False
外部需求 → 日本,jp_exp,T10,6,3,6,0.0097,0.6951,-0.1509,0.0349,-2.5876,0.392,False,False
外部需求 → 日本,jp_exp,T10,6,6,0,0.1443,0.0019,-0.149,-0.2364,-1.4601,-3.0987,False,False
外部需求 → 日本,jp_exp,T10,6,6,3,0.0085,0.3721,-0.2685,-0.1114,-2.632,-0.8925,False,False
外部需求 → 日本,jp_exp,T10,6,6,6,0.0294,0.9284,-0.1432,0.013,-2.1779,0.0899,False,False
外部需求 → 日本,jp_exp,T11,1,1,0,0.0448,0.5557,-0.2163,0.099,-2.0065,0.5892,False,False
外部需求 → 日本,jp_exp,T11,1,1,3,0.1511,0.2667,0.1634,-0.1498,1.4357,-1.1106,False,False
外部需求 → 日本,jp_exp,T11,1,1,6,0.8629,0.2048,0.016,-0.1647,0.1727,-1.268,False,False
外部需求 → 日本,jp_exp,T11,1,3,0,0.7165,0.0648,-0.0855,0.5033,-0.3631,1.8469,False,False
外部需求 → 日本,jp_exp,T11,1,3,3,0.2043,0.2388,0.1794,-0.2743,1.2694,-1.1779,False,False
外部需求 → 日本,jp_exp,T11,1,3,6,0.0101,0.3725,-0.3691,-0.1731,-2.5709,-0.8917,False,False
外部需求 → 日本,jp_exp,T11,1,6,0,0.7766,0.9903,0.0949,0.0029,0.2838,0.0121,False,False
外部需求 → 日本,jp_exp,T11,1,6,3,0.3569,0.0107,-0.1996,-0.4392,-0.9212,-2.552,False,False
外部需求 → 日本,jp_exp,T11,1,6,6,0.0123,0.8009,-0.6684,0.0429,-2.5034,0.2522,False,False
