variant,cagr,dd,sharpe,calmar,trades,div_calmar,div_cagr,div_dd,s1_cagr,s1_dd,s1_calmar,s2_cagr,s2_dd,s2_calmar,s3_cagr,s3_dd,s3_calmar,bull_ann,bear_ann,y2008,y2020,y2022,skipped_regime
R0,4.32,-24.81,0.63,0.17,412,0.16,2.01,-12.28,2.95,-24.81,0.119,3.36,-14.86,0.226,6.41,-13.97,0.459,8.26,-8.13,-0.25,-4.78,-0.93,0
R1,2.83,-18.25,0.52,0.16,307,0.08,0.96,-12.4,0.25,-12.94,0.02,3.35,-12.38,0.271,4.59,-13.56,0.338,4.99,-4.19,0.0,-6.79,0.13,0
R2,2.97,-19.78,0.5,0.15,293,0.11,1.14,-10.64,0.48,-19.78,0.024,3.94,-12.17,0.324,4.18,-13.4,0.312,6.03,-6.89,0.0,-5.69,-1.04,167
R3,2.95,-20.09,0.5,0.15,293,0.1,1.12,-10.65,0.42,-20.09,0.021,3.96,-12.21,0.325,4.14,-13.43,0.309,6.05,-7.07,0.0,-5.71,-1.05,167
R4,3.2,-16.11,0.6,0.2,270,0.09,1.01,-10.87,0.8,-10.68,0.074,3.68,-11.98,0.307,4.83,-13.35,0.362,5.32,-3.67,0.0,-5.69,-0.46,167
R5,3.22,-16.11,0.6,0.2,270,0.09,1.02,-10.87,0.8,-10.68,0.074,3.68,-11.98,0.307,4.89,-13.35,0.366,5.32,-3.57,0.0,-5.69,-0.46,167
