family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
主题 → 行业 / 主题,th:T1,T11,6,3,6,0.1475,0.3453,-0.0651,0.0735,-1.4483,0.9438,False,False
主题 → 行业 / 主题,th:T1,T11,6,6,0,0.2575,0.4217,0.1103,-0.1447,1.1323,-0.8035,False,False
主题 → 行业 / 主题,th:T1,T11,6,6,3,0.5535,0.941,-0.0542,-0.011,-0.5925,-0.074,False,False
主题 → 行业 / 主题,th:T1,T11,6,6,6,0.7961,0.8736,-0.0237,-0.0191,-0.2584,-0.1591,False,False
主题 → 行业 / 主题,th:T1,T13,1,1,0,0.7107,0.7743,0.0252,-0.0362,0.371,-0.2867,False,False
主题 → 行业 / 主题,th:T1,T13,1,1,3,0.3836,0.5297,0.0614,-0.0691,0.8713,-0.6285,False,False
主题 → 行业 / 主题,th:T1,T13,1,1,6,0.6518,0.1144,-0.0271,-0.1861,-0.4513,-1.5789,False,False
主题 → 行业 / 主题,th:T1,T13,1,3,0,0.9863,0.826,-0.0019,0.0477,-0.0172,0.2198,False,False
主题 → 行业 / 主题,th:T1,T13,1,3,3,0.0057,0.8714,0.2716,-0.0391,2.7646,-0.1619,False,False
主题 → 行业 / 主题,th:T1,T13,1,3,6,0.7631,0.0911,-0.0339,-0.3699,-0.3014,-1.6896,False,False
主题 → 行业 / 主题,th:T1,T13,1,6,0,0.0524,0.8332,0.2777,-0.0716,1.9395,-0.2106,False,False
主题 → 行业 / 主题,th:T1,T13,1,6,3,0.0768,0.1694,0.2559,-0.4379,1.7697,-1.374,False,False
主题 → 行业 / 主题,th:T1,T13,1,6,6,0.3064,0.9366,-0.1278,-0.0281,-1.0228,-0.0796,False,False
主题 → 行业 / 主题,th:T1,T13,3,1,0,0.9002,0.7562,0.0043,0.0184,0.1255,0.3105,False,False
主题 → 行业 / 主题,th:T1,T13,3,1,3,0.0084,0.7388,0.0812,-0.0219,2.6353,-0.3334,False,False
主题 → 行业 / 主题,th:T1,T13,3,1,6,0.958,0.0912,0.0018,-0.1157,0.0526,-1.689,False,False
主题 → 行业 / 主题,th:T1,T13,3,3,0,0.6922,0.9961,0.0302,-0.0007,0.3958,-0.0049,False,False
主题 → 行业 / 主题,th:T1,T13,3,3,3,0.0033,0.3914,0.178,-0.1584,2.9393,-0.8572,False,False
主题 → 行业 / 主题,th:T1,T13,3,3,6,0.3027,0.5783,-0.0701,-0.1002,-1.0307,-0.5559,False,False
主题 → 行业 / 主题,th:T1,T13,3,6,0,0.0375,0.5391,0.2197,-0.1728,2.0799,-0.6141,False,False
主题 → 行业 / 主题,th:T1,T13,3,6,3,0.2135,0.2919,0.1269,-0.2535,1.2441,-1.0539,False,False
主题 → 行业 / 主题,th:T1,T13,3,6,6,0.2726,0.3361,-0.1002,0.2649,-1.0972,0.962,False,False
主题 → 行业 / 主题,th:T1,T13,6,1,0,0.0358,0.9302,0.0415,0.0045,2.0992,0.0875,False,False
主题 → 行业 / 主题,th:T1,T13,6,1,3,0.0586,0.2375,0.0367,-0.0593,1.8909,-1.1812,False,False
主题 → 行业 / 主题,th:T1,T13,6,1,6,0.4566,0.8809,-0.0137,-0.0067,-0.7444,-0.1498,False,False
主题 → 行业 / 主题,th:T1,T13,6,3,0,0.0303,0.6596,0.1051,-0.0655,2.1656,-0.4404,False,False
主题 → 行业 / 主题,th:T1,T13,6,3,3,0.2842,0.3484,0.0497,-0.1206,1.0709,-0.9377,False,False
主题 → 行业 / 主题,th:T1,T13,6,3,6,0.3096,0.4296,-0.0445,0.1168,-1.0161,0.7898,False,False
主题 → 行业 / 主题,th:T1,T13,6,6,0,0.0361,0.3579,0.1664,-0.1909,2.0957,-0.9193,False,False
主题 → 行业 / 主题,th:T1,T13,6,6,3,0.8121,0.8879,0.0144,0.0348,0.2377,0.141,False,False
主题 → 行业 / 主题,th:T1,T13,6,6,6,0.5792,0.2303,-0.0408,0.2959,-0.5546,1.1996,False,False
主题 → 行业 / 主题,th:T1,T2,1,1,0,0.8682,0.3931,-0.0114,0.0685,-0.166,0.854,False,False
主题 → 行业 / 主题,th:T1,T2,1,1,3,0.2446,0.7216,-0.0677,-0.0254,-1.1635,-0.3564,False,False
主题 → 行业 / 主题,th:T1,T2,1,1,6,0.7274,0.0797,-0.025,0.1143,-0.3486,1.7522,False,False
主题 → 行业 / 主题,th:T1,T2,1,3,0,0.5994,0.0905,0.0803,0.1929,0.5253,1.6929,False,False
主题 → 行业 / 主题,th:T1,T2,1,3,3,0.0665,0.4097,-0.2694,-0.1137,-1.8348,-0.8244,False,False
主题 → 行业 / 主题,th:T1,T2,1,3,6,0.7259,0.8503,0.0526,0.0302,0.3506,0.1887,False,False
主题 → 行业 / 主题,th:T1,T2,1,6,0,0.2695,0.5122,-0.1914,0.1062,-1.1043,0.6554,False,False
主题 → 行业 / 主题,th:T1,T2,1,6,3,0.3663,0.4612,-0.2284,-0.1275,-0.9034,-0.7368,False,False
主题 → 行业 / 主题,th:T1,T2,1,6,6,0.3985,0.9472,0.1853,0.0164,0.8443,0.0663,False,False
主题 → 行业 / 主题,th:T1,T2,3,1,0,0.6637,0.1377,0.0163,0.0632,0.4349,1.4844,False,False
主题 → 行业 / 主题,th:T1,T2,3,1,3,0.1137,0.7835,-0.0749,-0.012,-1.5818,-0.2747,False,False
主题 → 行业 / 主题,th:T1,T2,3,1,6,0.9022,0.7227,0.0059,0.0174,0.1229,0.3548,False,False
主题 → 行业 / 主题,th:T1,T2,3,3,0,0.9223,0.2759,0.009,0.0934,0.0976,1.0895,False,False
主题 → 行业 / 主题,th:T1,T2,3,3,3,0.1097,0.9893,-0.2033,0.0013,-1.5996,0.0134,False,False
主题 → 行业 / 主题,th:T1,T2,3,3,6,0.2795,0.8135,0.1374,-0.0246,1.0814,-0.2359,False,False
主题 → 行业 / 主题,th:T1,T2,3,6,0,0.184,0.4556,-0.2056,0.1033,-1.3287,0.7461,False,False
主题 → 行业 / 主题,th:T1,T2,3,6,3,0.7346,0.8843,-0.082,-0.0233,-0.339,-0.1455,False,False
主题 → 行业 / 主题,th:T1,T2,3,6,6,0.0933,0.6795,0.2387,-0.0826,1.678,-0.4132,False,False
主题 → 行业 / 主题,th:T1,T2,6,1,0,0.2318,0.3217,-0.0298,0.0262,-1.1958,0.9909,False,False
主题 → 行业 / 主题,th:T1,T2,6,1,3,0.3977,0.9091,-0.032,0.0039,-0.8457,0.1142,False,False
主题 → 行业 / 主题,th:T1,T2,6,1,6,0.5277,0.6115,0.02,0.0151,0.6315,0.5079,False,False
主题 → 行业 / 主题,th:T1,T2,6,3,0,0.2336,0.4471,-0.0956,0.0565,-1.1911,0.7602,False,False
主题 → 行业 / 主题,th:T1,T2,6,3,3,0.773,0.9488,-0.0317,-0.0055,-0.2885,-0.0643,False,False
主题 → 行业 / 主题,th:T1,T2,6,3,6,0.1265,0.5987,0.1035,-0.0517,1.5281,-0.5263,False,False
主题 → 行业 / 主题,th:T1,T2,6,6,0,0.3852,0.6642,-0.1387,0.0558,-0.8684,0.4341,False,False
