variant,exit,macro,full_cagr_pct,full_max_dd_pct,full_sharpe,full_calmar,full_trades,full_win_rate,div_cagr_pct,div_max_dd_pct,div_sharpe,div_calmar,div_trades,div_win_rate,oos_cagr_pct,oos_max_dd_pct,oos_sharpe,oos_calmar,oos_trades,oos_win_rate,oos_pos_windows,oos_windows,secs
X1_M2,X1,M2,4.9,-11.75,0.73,0.42,60,51.7,4.59,-6.47,1.06,0.71,75,52.0,21.87,-4.49,2.44,4.87,45,73.3,6,6,80
X2_M2,X2,M2,4.07,-12.07,0.59,0.34,59,54.2,4.19,-6.5,0.94,0.65,74,54.1,21.94,-4.49,2.44,4.89,45,73.3,6,6,75
X1_M1,X1,M1,5.81,-12.24,0.8,0.47,60,51.7,4.99,-6.49,1.07,0.77,75,52.0,18.93,-5.26,2.07,3.6,44,68.2,5,6,76
