target,combo,k,signs,disc_auc,val_auc,val_ba,p,g1,g2,g3
T1_breakout,M3 + U1 + S13,3,−++,0.5961,0.4743,0.4556,0.6139,False,False,False
T1_breakout,M3 + U1 + S14,3,−++,0.5556,0.5631,0.5673,0.0754,False,True,True
T1_breakout,M3 + U1 + S15,3,−+−,0.5263,0.5058,0.516,0.3631,False,True,False
T1_breakout,M3 + U1 + E5,3,−++,,0.4912,,0.477,False,False,False
T1_breakout,M3 + U1 + S16,3,−++,0.5269,0.4819,0.4615,0.5528,False,False,False
T1_breakout,M3 + U2 + T1,3,−−−,0.5385,0.4883,0.5174,0.5007,False,False,False
T1_breakout,M3 + U2 + T2,3,−−−,0.5228,0.4589,0.4647,0.7301,False,False,False
T1_breakout,M3 + U2 + T3,3,−−−,0.5559,0.4498,0.4976,0.7886,False,False,False
T1_breakout,M3 + U2 + E1,3,−−−,0.5797,0.4566,0.5143,0.7456,False,False,False
T1_breakout,M3 + U2 + E2,3,−−−,0.5562,0.4037,0.4227,0.9545,False,False,False
T1_breakout,M3 + U2 + E3,3,−−−,0.5175,0.5046,0.4894,0.372,False,True,False
T1_breakout,M3 + U2 + E4,3,−−+,0.5608,0.4746,0.5021,0.6119,False,False,False
T1_breakout,M3 + U2 + H1,3,−−−,0.5183,0.4517,0.5028,0.7777,False,False,False
T1_breakout,M3 + U2 + S01,3,−−+,0.5644,0.4923,0.5123,0.4676,False,False,False
T1_breakout,M3 + U2 + S02,3,−−−,0.504,0.4324,0.4864,0.8764,False,False,False
T1_breakout,M3 + U2 + S03,3,−−+,0.5206,0.5009,0.5335,0.4002,False,True,False
T1_breakout,M3 + U2 + S04,3,−−−,0.5301,0.4798,0.4674,0.5703,False,False,False
T1_breakout,M3 + U2 + S05,3,−−+,0.575,0.4401,0.4806,0.8416,False,False,False
T1_breakout,M3 + U2 + S06,3,−−+,0.5406,0.5016,0.5204,0.3947,False,True,False
T1_breakout,M3 + U2 + S07,3,−−−,0.5002,0.439,0.4698,0.8469,False,False,False
T1_breakout,M3 + U2 + S08,3,−−−,0.5159,0.4358,0.4711,0.8618,False,False,False
T1_breakout,M3 + U2 + S09,3,−−−,0.5558,0.4594,0.4752,0.7267,False,False,False
T1_breakout,M3 + U2 + S10,3,−−−,0.5274,0.4695,0.4644,0.6515,False,False,False
T1_breakout,M3 + U2 + S11,3,−−−,0.5218,0.4718,0.5211,0.6336,False,False,False
T1_breakout,M3 + U2 + S12,3,−−+,0.5116,0.4652,0.5055,0.6841,False,False,False
T1_breakout,M3 + U2 + S13,3,−−+,0.5293,0.4608,0.4954,0.7166,False,False,False
T1_breakout,M3 + U2 + S14,3,−−+,0.5376,0.5264,0.5256,0.2264,False,True,False
T1_breakout,M3 + U2 + S15,3,−−−,0.5031,0.4777,0.4999,0.5871,False,False,False
T1_breakout,M3 + U2 + E5,3,−−+,,0.4693,,0.6531,False,False,False
T1_breakout,M3 + U2 + S16,3,−−+,0.4802,0.4367,0.5249,0.8579,False,False,False
T1_breakout,M3 + T1 + T2,3,−−−,0.5553,0.531,0.5518,0.2003,False,True,False
T1_breakout,M3 + T1 + T3,3,−−−,0.5721,0.5126,0.5577,0.3143,False,True,False
T1_breakout,M3 + T1 + E1,3,−−−,0.6193,0.5351,0.5223,0.1793,False,True,False
T1_breakout,M3 + T1 + E2,3,−−−,0.5783,0.5016,0.4849,0.3947,False,True,False
T1_breakout,M3 + T1 + E3,3,−−−,0.5545,0.5927,0.5457,0.0252,False,True,True
T1_breakout,M3 + T1 + E4,3,−−+,0.5947,0.5408,0.5015,0.1523,False,True,False
T1_breakout,M3 + T1 + H1,3,−−−,0.5722,0.5572,0.5277,0.0922,False,True,True
T1_breakout,M3 + T1 + S01,3,−−+,0.6192,0.5591,0.5251,0.0863,False,True,True
T1_breakout,M3 + T1 + S02,3,−−−,0.5609,0.4963,0.5058,0.4362,False,False,False
T1_breakout,M3 + T1 + S03,3,−−+,0.604,0.5523,0.5611,0.1074,False,True,True
T1_breakout,M3 + T1 + S04,3,−−−,0.59,0.5326,0.5525,0.1917,False,True,False
T1_breakout,M3 + T1 + S05,3,−−+,0.6225,0.5048,0.5212,0.3704,False,True,False
T1_breakout,M3 + T1 + S06,3,−−+,0.6365,0.5533,0.5685,0.1043,False,True,True
T1_breakout,M3 + T1 + S07,3,−−−,0.5527,0.5167,0.481,0.2864,False,True,False
T1_breakout,M3 + T1 + S08,3,−−−,0.5812,0.5045,0.4819,0.373,False,True,False
T1_breakout,M3 + T1 + S09,3,−−−,0.5927,0.522,0.5323,0.2521,False,True,False
T1_breakout,M3 + T1 + S10,3,−−−,0.6167,0.5234,0.5442,0.2438,False,True,False
T1_breakout,M3 + T1 + S11,3,−−−,0.569,0.5386,0.553,0.1622,False,True,False
T1_breakout,M3 + T1 + S12,3,−−+,0.5638,0.5237,0.5396,0.242,False,True,False
T1_breakout,M3 + T1 + S13,3,−−+,0.627,0.5144,0.5139,0.3018,False,True,False
T1_breakout,M3 + T1 + S14,3,−−+,0.6275,0.5632,0.5719,0.0751,False,True,True
T1_breakout,M3 + T1 + S15,3,−−−,0.5794,0.5361,0.5172,0.1744,False,True,False
T1_breakout,M3 + T1 + E5,3,−−+,,0.5265,,0.2257,False,False,False
T1_breakout,M3 + T1 + S16,3,−−+,0.5528,0.5401,0.5595,0.1556,False,True,False
T1_breakout,M3 + T2 + T3,3,−−−,0.5751,0.4962,0.456,0.4365,False,False,False
T1_breakout,M3 + T2 + E1,3,−−−,0.5758,0.5147,0.5453,0.2997,False,True,False
T1_breakout,M3 + T2 + E2,3,−−−,0.5777,0.4618,0.4742,0.7096,False,False,False
T1_breakout,M3 + T2 + E3,3,−−−,0.5389,0.5393,0.4927,0.159,False,True,False
T1_breakout,M3 + T2 + E4,3,−−+,0.5665,0.5073,0.4842,0.3526,False,True,False
T1_breakout,M3 + T2 + H1,3,−−−,0.5561,0.5231,0.4764,0.2457,False,True,False
T1_breakout,M3 + T2 + S01,3,−−+,0.597,0.5333,0.4804,0.1883,False,True,False
T1_breakout,M3 + T2 + S02,3,−−−,0.5465,0.4757,0.4579,0.6031,False,False,False
T1_breakout,M3 + T2 + S03,3,−−+,0.5856,0.5504,0.5105,0.114,False,True,True
T1_breakout,M3 + T2 + S04,3,−−−,0.5835,0.5201,0.532,0.2641,False,True,False
T1_breakout,M3 + T2 + S05,3,−−+,0.606,0.4779,0.4924,0.5854,False,False,False
T1_breakout,M3 + T2 + S06,3,−−+,0.586,0.5464,0.5515,0.1289,False,True,False
T1_breakout,M3 + T2 + S07,3,−−−,0.5242,0.4831,0.464,0.5426,False,False,False
T1_breakout,M3 + T2 + S08,3,−−−,0.5409,0.472,0.4775,0.6324,False,False,False
T1_breakout,M3 + T2 + S09,3,−−−,0.5707,0.4966,0.4754,0.4338,False,False,False
T1_breakout,M3 + T2 + S10,3,−−−,0.592,0.5063,0.4882,0.3595,False,True,False
T1_breakout,M3 + T2 + S11,3,−−−,0.5547,0.5317,0.5211,0.1965,False,True,False
T1_breakout,M3 + T2 + S12,3,−−+,0.5525,0.5065,0.4983,0.3581,False,True,False
T1_breakout,M3 + T2 + S13,3,−−+,0.5629,0.5061,0.4876,0.3609,False,True,False
T1_breakout,M3 + T2 + S14,3,−−+,0.5631,0.5678,0.5473,0.0641,False,True,True
T1_breakout,M3 + T2 + S15,3,−−−,0.5597,0.5197,0.5055,0.267,False,True,False
T1_breakout,M3 + T2 + E5,3,−−+,,0.5516,,0.1099,False,False,True
T1_breakout,M3 + T2 + S16,3,−−+,0.5373,0.4978,0.4826,0.4246,False,False,False
T1_breakout,M3 + T3 + E1,3,−−−,0.6114,0.4931,0.5011,0.4608,False,False,False
T1_breakout,M3 + T3 + E2,3,−−−,0.5811,0.4413,0.451,0.8357,False,False,False
T1_breakout,M3 + T3 + E3,3,−−−,0.5664,0.54,0.5212,0.156,False,True,False
T1_breakout,M3 + T3 + E4,3,−−+,0.5996,0.4968,0.5063,0.4325,False,False,False
T1_breakout,M3 + T3 + H1,3,−−−,0.5795,0.4906,0.5382,0.4818,False,False,False
T1_breakout,M3 + T3 + S01,3,−−+,0.6129,0.5292,0.5274,0.2104,False,True,False
T1_breakout,M3 + T3 + S02,3,−−−,0.5761,0.4564,0.4579,0.7474,False,False,False
T1_breakout,M3 + T3 + S03,3,−−+,0.5943,0.5223,0.5179,0.2504,False,True,False
T1_breakout,M3 + T3 + S04,3,−−−,0.5988,0.5118,0.5025,0.3201,False,True,False
T1_breakout,M3 + T3 + S05,3,−−+,0.6283,0.4707,0.4652,0.6427,False,False,False
T1_breakout,M3 + T3 + S06,3,−−+,0.6572,0.533,0.5488,0.19,False,True,False
