date,market,A0,EW,DOM,AUCW,TOP10,STAB,A0NN,RIDGE,LASSO,NNRIDGE,PRIOR,DOMLR
2026-09-24,US,0.1277,0.16946,0.14957,0.09964,0.08398,0.14699,0.05187,0.09629,0.11731,0.1285,0.16532,0.15297
2026-09-25,JP,0.25648,0.24997,0.24479,0.22944,0.19504,0.24869,0.20753,0.33817,0.28604,0.26114,0.33969,0.20735
